ID,Type,Fellowship Win Rate,Fellowship Games Played,Fellowship Rating,Movie Win Rate,Movie Games Played,Movie Rating,Expanded Win Rate,Expanded Games Played,Expanded Rating
The Prancing Pony, site,0.49841068022886204,1573,High Play Rate with Average Strength,,,N/A,,,N/A
Midgewater Marshes, site,0.5262008733624454,458,High Play Rate with Average Strength,,,N/A,,,N/A
101_59, site,0.5618811881188119,404,High Play Rate with Average Strength,,,N/A,,,N/A
Dwarrowdelf Chamber, site,0.5227272727272727,352,High Play Rate with Average Strength,,,N/A,,,N/A
The Bridge of Khazad-dum, site,0.498545101842871,3093,High Play Rate with Average Strength,,,N/A,0.5230769230769231,130,High Play Rate with Average Strength
Galadriel's Glade, site,0.53125,320,High Play Rate with Average Strength,,,N/A,,,N/A
Anduin Confluence, site,0.4776931447225245,919,High Play Rate with Average Strength,,,N/A,,,N/A
Gates of Argonath, site,0.4666666666666667,285,High Play Rate with Average Strength,,,N/A,,,N/A
Tol Brandir, site,0.4739583333333333,576,High Play Rate with Average Strength,,,N/A,,,N/A
101_45, drawDeck,0.505338078291815,281,High Play Rate with Average Strength,0.34210526315789475,114,Redeemable,0.4666666666666667,15,Average
101_48, drawDeck,0.44516129032258067,465,High Play Rate with Average Strength,0.3894736842105263,95,Redeemable,,2,Unplayed
Gimli's Helm, drawDeck,0.4305343511450382,655,High Play Rate with Average Strength,0.587890625,512,High Play Rate with Average Strength,0.4931506849315068,73,High Play Rate with Average Strength
Ulaire Cantea: Lieutenant of Dol Guldur, drawDeck,0.504750593824228,842,High Play Rate with Average Strength,0.38271604938271603,81,Redeemable,0.2222222222222222,9,Trash
Ulaire Enquea: Lieutenant of Morgul, drawDeck,0.5224719101123596,1780,High Play Rate with Average Strength,0.5171614100185529,2156,High Play Rate with Average Strength,0.4961832061068702,262,High Play Rate with Average Strength
Enduring Evil, drawDeck,0.41150442477876104,226,Average,0.46963562753036436,247,High Play Rate with Average Strength,0.5833333333333334,12,Average
Hate, drawDeck,0.4808362369337979,574,High Play Rate with Average Strength,0.49595687331536387,371,High Play Rate with Average Strength,0.23076923076923078,13,Trash
Morgul Skulker, drawDeck,0.48095238095238096,210,Average,0.5362318840579711,345,High Play Rate with Average Strength,0.3333333333333333,9,Redeemable
Orc Assassin, drawDeck,0.46511627906976744,430,High Play Rate with Average Strength,0.3333333333333333,69,Redeemable,0.6,5,Sleeper or Niche Power Picks
Orc Bowmen, drawDeck,0.4641255605381166,446,High Play Rate with Average Strength,0.3872832369942196,173,Redeemable,0.2222222222222222,9,Trash
Thrarin: Dwarven Smith, drawDeck,0.5121212121212121,990,High Play Rate with Average Strength,0.5620253164556962,395,High Play Rate with Average Strength,0.43859649122807015,57,High Play Rate with Average Strength
Under the Watching Eye, drawDeck,0.46582278481012657,395,High Play Rate with Average Strength,0.3765432098765432,162,Redeemable,0.3,10,Redeemable
There and Back Again, drawDeck,0.5565669700910273,769,High Play Rate with Average Strength,0.5062937062937063,715,High Play Rate with Average Strength,0.36363636363636365,44,Redeemable
Hobbit Stealth, drawDeck,0.4833574529667149,1382,High Play Rate with Average Strength,0.2903225806451613,31,Trash,0.375,8,Redeemable
Delving, drawDeck,0.35294117647058826,68,Redeemable,0.5570175438596491,228,High Play Rate with Average Strength,0.375,8,Redeemable
Hand Axe, drawDeck,0.4145616641901932,673,High Play Rate with Average Strength,0.5415472779369628,698,High Play Rate with Average Strength,0.4336283185840708,113,High Play Rate with Average Strength
Mithril-coat, drawDeck,0.5037037037037037,945,High Play Rate with Average Strength,0.5340909090909091,176,High Play Rate with Average Strength,0.5652173913043478,23,Average
Tidings of Erebor, drawDeck,0.36363636363636365,33,Redeemable,0.75,64,Standard Power Picks,0.3333333333333333,3,Redeemable
Dwarven Bracers, drawDeck,0.40902021772939345,643,High Play Rate with Average Strength,0.5270935960591133,609,High Play Rate with Average Strength,0.5045045045045045,111,High Play Rate with Average Strength
Memory of Many Things, drawDeck,0.5048076923076923,208,Average,0.26666666666666666,30,Trash,0.5,2,Unplayed
