ID,Type,Fellowship Win Rate,Fellowship Games Played,Fellowship Rating,Movie Win Rate,Movie Games Played,Movie Rating,Expanded Win Rate,Expanded Games Played,Expanded Rating
The Prancing Pony, site,0.49653259361997226,1442,High Play Rate with Average Strength,,,N/A,,,N/A
Midgewater Marshes, site,0.5355555555555556,450,High Play Rate with Average Strength,,,N/A,,,N/A
101_59, site,0.5304659498207885,279,High Play Rate with Average Strength,,,N/A,,,N/A
Dwarrowdelf Chamber, site,0.48299319727891155,294,High Play Rate with Average Strength,,,N/A,,,N/A
The Bridge of Khazad-dum, site,0.4973614775725594,3032,High Play Rate with Average Strength,,,N/A,0.5502183406113537,229,High Play Rate with Average Strength
Galadriel's Glade, site,0.5574712643678161,348,High Play Rate with Average Strength,,,N/A,,,N/A
Anduin Confluence, site,0.48665955176093917,937,High Play Rate with Average Strength,,,N/A,,,N/A
Gates of Argonath, site,0.5178571428571429,280,High Play Rate with Average Strength,,,N/A,,,N/A
Tol Brandir, site,0.483704974271012,583,High Play Rate with Average Strength,,,N/A,,,N/A
101_45, drawDeck,0.48333333333333334,240,High Play Rate with Average Strength,0.3402061855670103,97,Redeemable,0.4,15,Average
101_48, drawDeck,0.4669509594882729,469,High Play Rate with Average Strength,0.38961038961038963,77,Redeemable,0.3333333333333333,9,Redeemable
Gimli's Helm, drawDeck,0.45296671490593343,691,High Play Rate with Average Strength,0.5730337078651685,534,High Play Rate with Average Strength,0.4636363636363636,110,High Play Rate with Average Strength
Ulaire Cantea: Lieutenant of Dol Guldur, drawDeck,0.5261146496815287,785,High Play Rate with Average Strength,0.35365853658536583,82,Redeemable,0.16666666666666666,12,Trash
Ulaire Enquea: Lieutenant of Morgul, drawDeck,0.5203205495134516,1747,High Play Rate with Average Strength,0.5148514851485149,2121,High Play Rate with Average Strength,0.5144124168514412,451,High Play Rate with Average Strength
Enduring Evil, drawDeck,0.44745762711864406,295,High Play Rate with Average Strength,0.43346007604562736,263,High Play Rate with Average Strength,0.42857142857142855,21,Average
Hate, drawDeck,0.48736462093862815,554,High Play Rate with Average Strength,0.4801223241590214,327,High Play Rate with Average Strength,0.35,20,Redeemable
Morgul Skulker, drawDeck,0.4419642857142857,224,Average,0.553763440860215,372,High Play Rate with Average Strength,0.25,8,Trash
Orc Assassin, drawDeck,0.4597402597402597,385,High Play Rate with Average Strength,0.3442622950819672,61,Redeemable,0.45454545454545453,11,Low Play Rate with Average Strength
Orc Bowmen, drawDeck,0.4603174603174603,378,High Play Rate with Average Strength,0.38666666666666666,150,Redeemable,0.3888888888888889,18,Redeemable
Thrarin: Dwarven Smith, drawDeck,0.5112781954887218,931,High Play Rate with Average Strength,0.5560859188544153,419,High Play Rate with Average Strength,0.3698630136986301,73,Redeemable
Under the Watching Eye, drawDeck,0.4603658536585366,328,High Play Rate with Average Strength,0.3925925925925926,135,Redeemable,0.4666666666666667,15,Average
There and Back Again, drawDeck,0.5708029197080292,685,High Play Rate with Average Strength,0.5209302325581395,645,High Play Rate with Average Strength,0.34545454545454546,55,Redeemable
Hobbit Stealth, drawDeck,0.4847161572052402,1374,High Play Rate with Average Strength,0.3,30,Redeemable,0.4,10,Low Play Rate with Average Strength
Delving, drawDeck,0.36363636363636365,66,Redeemable,0.5412844036697247,218,High Play Rate with Average Strength,0.2857142857142857,14,Trash
Hand Axe, drawDeck,0.4369747899159664,714,High Play Rate with Average Strength,0.5233766233766234,770,High Play Rate with Average Strength,0.48044692737430167,179,High Play Rate with Average Strength
Mithril-coat, drawDeck,0.5124434389140271,884,High Play Rate with Average Strength,0.5190476190476191,210,High Play Rate with Average Strength,0.4473684210526316,38,Average
Tidings of Erebor, drawDeck,0.4074074074074074,27,Low Play Rate with Average Strength,0.7619047619047619,42,Sleeper or Niche Power Picks,0.35714285714285715,14,Redeemable
Dwarven Bracers, drawDeck,0.43131462333825704,677,High Play Rate with Average Strength,0.5049928673323824,701,High Play Rate with Average Strength,0.5157894736842106,190,High Play Rate with Average Strength
Memory of Many Things, drawDeck,0.4878048780487805,164,Average,0.2692307692307692,26,Trash,0.5,2,Unplayed
Tower Assassin, drawDeck,0.5080745341614907,805,High Play Rate with Average Strength,0.5131578947368421,228,High Play Rate with Average Strength,0.2558139534883721,43,Trash
Book of Mazarbul, drawDeck,0.42081447963800905,442,High Play Rate with Average Strength,0.375,56,Redeemable,0.25,4,Trash
Too Great and Terrible, drawDeck,0.555992141453831,509,High Play Rate with Average Strength,0.5542857142857143,175,High Play Rate with Average Strength,0.6090534979423868,243,Meta Dominating Power Picks
Farin: Dwarven Emissary, drawDeck,0.43628509719222464,463,High Play Rate with Average Strength,0.41379310344827586,29,Low Play Rate with Average Strength,,,N/A
Gimli: Dwarf of Erebor, drawDeck,0.3783783783783784,37,Redeemable,1,2,Unplayed,,,N/A
Sam: Son of Hamfast, drawDeck,0.5105916727538349,1369,High Play Rate with Average Strength,0.5373831775700935,1712,High Play Rate with Average Strength,0.25,4,Trash
Sting, drawDeck,0.492091388400703,2276,High Play Rate with Average Strength,0.4087301587301587,252,High Play Rate with Average Strength,0.37681159420289856,69,Redeemable
Dwarven Axe, drawDeck,0.4323308270676692,532,High Play Rate with Average Strength,0.5307692307692308,650,High Play Rate with Average Strength,0.441025641025641,195,High Play Rate with Average Strength
O Elbereth, drawDeck,0.5246598639455783,1176,High Play Rate with Average Strength,0.4784853700516351,581,High Play Rate with Average Strength,0.36904761904761907,84,Redeemable
Fror: Gimli's Kinsman, drawDeck,0.4276315789473684,456,High Play Rate with Average Strength,0.3,20,Redeemable,0.29411764705882354,17,Trash
Aragorn: Heir to the White City, drawDeck,0.5171568627450981,816,High Play Rate with Average Strength,0.375,128,Redeemable,0.6,10,Sleeper or Niche Power Picks
Bree Streets, site,0.5386064030131826,531,High Play Rate with Average Strength,,,N/A,,,N/A
Ford of Bruinen, site,0.5373563218390804,1044,High Play Rate with Average Strength,,,N/A,,,N/A
Hollin, site,0.4711111111111111,450,High Play Rate with Average Strength,,,N/A,,,N/A
Valley of the Silverlode, site,0.45,360,High Play Rate with Average Strength,,,N/A,,,N/A
Anduin Wilderland, site,0.5140515222482436,854,High Play Rate with Average Strength,,,N/A,,,N/A
101_63, site,0.5348258706467661,804,High Play Rate with Average Strength,,,N/A,,,N/A
Summit of Amon Hen, site,0.5130813953488372,1376,High Play Rate with Average Strength,,,N/A,,,N/A
Ranger's Sword, drawDeck,0.5043196544276458,1852,High Play Rate with Average Strength,0.4528301886792453,371,High Play Rate with Average Strength,0.36363636363636365,11,Redeemable
The Saga of Elendil, drawDeck,0.5078740157480315,508,High Play Rate with Average Strength,0.34023668639053256,338,Redeemable,0.43478260869565216,92,High Play Rate with Average Strength
All Blades Perish, drawDeck,0.42857142857142855,105,Average,0.4605263157894737,152,High Play Rate with Average Strength,0.5238095238095238,21,Average
Black Breath, drawDeck,0.55668358714044,591,High Play Rate with Average Strength,0.4695121951219512,164,High Play Rate with Average Strength,0.49019607843137253,51,High Play Rate with Average Strength
Blade Tip, drawDeck,0.5592011412268189,701,High Play Rate with Average Strength,0.5304347826086957,115,Average,0.5,50,High Play Rate with Average Strength
Morgul Blade, drawDeck,0.41044776119402987,134,Average,,4,Unplayed,0.5,4,Low Play Rate with Average Strength
Morgul Gates, drawDeck,0.5531295487627366,687,High Play Rate with Average Strength,0.48412698412698413,126,Average,0.2916666666666667,24,Trash
Nazgul Sword, drawDeck,0.516597510373444,482,High Play Rate with Average Strength,0.46808510638297873,47,Average,0.3783783783783784,37,Redeemable
The Pale Blade, drawDeck,0.5567375886524822,564,High Play Rate with Average Strength,0.5238095238095238,210,High Play Rate with Average Strength,0.34615384615384615,26,Redeemable
Relentless Charge, drawDeck,0.5827067669172933,532,High Play Rate with Average Strength,0.32142857142857145,28,Redeemable,0.5483870967741935,31,Average
Threshold of Shadow, drawDeck,0.5144508670520231,173,Average,0.15384615384615385,13,Trash,1,1,Unplayed
Ulaire Attea: Keeper of Dol Guldur, drawDeck,0.5603053435114503,655,High Play Rate with Average Strength,0.5652173913043478,138,High Play Rate with Average Strength,0.34615384615384615,26,Redeemable
Ulaire Toldea: Messenger of Morgul, drawDeck,0.5285053929121726,649,High Play Rate with Average Strength,0.4419475655430712,267,High Play Rate with Average Strength,0.5,24,Average
The Witch-king: Lord of Angmar, drawDeck,0.5599343185550082,609,High Play Rate with Average Strength,0.3541666666666667,48,Redeemable,0.25,12,Trash
Wreathed in Shadow, drawDeck,0.6055979643765903,393,Meta Dominating Power Picks,0.40476190476190477,42,Low Play Rate with Average Strength,0.5,22,Average
Merry: Friend to Sam, drawDeck,0.5644555694618273,799,High Play Rate with Average Strength,0.5368620037807184,529,High Play Rate with Average Strength,0.375,56,Redeemable
Pippin: Hobbit of Some Intelligence, drawDeck,0.5582089552238806,335,High Play Rate with Average Strength,0.44086021505376344,93,Average,0.35714285714285715,28,Redeemable
Asfaloth, drawDeck,0.4954682779456193,662,High Play Rate with Average Strength,0.46504065040650405,615,High Play Rate with Average Strength,0.3488372093023256,43,Redeemable
Boromir: Son of Denethor, drawDeck,0.5411558669001751,571,High Play Rate with Average Strength,0.4766146993318486,449,High Play Rate with Average Strength,0.3333333333333333,9,Redeemable
Arwen: Daughter of Elrond, drawDeck,0.5160256410256411,1248,High Play Rate with Average Strength,0.52,25,Low Play Rate with Average Strength,0.32,25,Redeemable
Elven Bow, drawDeck,0.43825665859564167,413,High Play Rate with Average Strength,0.408675799086758,438,High Play Rate with Average Strength,0.4132231404958678,121,High Play Rate with Average Strength
Gwemegil, drawDeck,0.49349442379182157,1076,High Play Rate with Average Strength,0.4367816091954023,609,High Play Rate with Average Strength,0.3018867924528302,53,Redeemable
