ID,Type,Fellowship Win Rate,Fellowship Games Played,Fellowship Rating,Movie Win Rate,Movie Games Played,Movie Rating,Expanded Win Rate,Expanded Games Played,Expanded Rating
The Prancing Pony, site,0.49965682910089226,1457,High Play Rate with Average Strength,,,N/A,,,N/A
Midgewater Marshes, site,0.5365853658536586,451,High Play Rate with Average Strength,,,N/A,,,N/A
101_59, site,0.5304659498207885,279,Average,,,N/A,,,N/A
Dwarrowdelf Chamber, site,0.4847457627118644,295,Average,,,N/A,,,N/A
The Bridge of Khazad-dum, site,0.4981949458483754,3047,High Play Rate with Average Strength,,,N/A,0.5502183406113537,229,High Play Rate with Average Strength
Galadriel's Glade, site,0.5524079320113314,353,High Play Rate with Average Strength,,,N/A,,,N/A
Anduin Confluence, site,0.4927536231884058,966,High Play Rate with Average Strength,,,N/A,,,N/A
Gates of Argonath, site,0.5609756097560976,328,High Play Rate with Average Strength,,,N/A,,,N/A
Tol Brandir, site,0.490787269681742,597,High Play Rate with Average Strength,,,N/A,,,N/A
101_45, drawDeck,0.48333333333333334,240,Average,0.3402061855670103,97,Redeemable,0.4,15,Average
101_48, drawDeck,0.4669509594882729,469,High Play Rate with Average Strength,0.38961038961038963,77,Redeemable,0.3333333333333333,9,Redeemable
Gimli's Helm, drawDeck,0.45296671490593343,691,High Play Rate with Average Strength,0.5730337078651685,534,High Play Rate with Average Strength,0.4636363636363636,110,High Play Rate with Average Strength
Ulaire Cantea: Lieutenant of Dol Guldur, drawDeck,0.5273189326556544,787,High Play Rate with Average Strength,0.35365853658536583,82,Redeemable,0.16666666666666666,12,Trash
Ulaire Enquea: Lieutenant of Morgul, drawDeck,0.5212705615428247,1763,High Play Rate with Average Strength,0.5150517403574788,2126,High Play Rate with Average Strength,0.5131578947368421,456,High Play Rate with Average Strength
Enduring Evil, drawDeck,0.44745762711864406,295,Average,0.43346007604562736,263,High Play Rate with Average Strength,0.42857142857142855,21,Average
Hate, drawDeck,0.48736462093862815,554,High Play Rate with Average Strength,0.48656716417910445,335,High Play Rate with Average Strength,0.35,20,Redeemable
Morgul Skulker, drawDeck,0.4476987447698745,239,Average,0.5621761658031088,386,High Play Rate with Average Strength,0.6122448979591837,49,Meta Dominating Power Picks
Orc Assassin, drawDeck,0.4597402597402597,385,High Play Rate with Average Strength,0.3442622950819672,61,Redeemable,0.45454545454545453,11,Low Play Rate with Average Strength
Orc Bowmen, drawDeck,0.4603174603174603,378,High Play Rate with Average Strength,0.38666666666666666,150,Redeemable,0.3888888888888889,18,Redeemable
Thrarin: Dwarven Smith, drawDeck,0.5247035573122529,1012,High Play Rate with Average Strength,0.5526932084309133,427,High Play Rate with Average Strength,0.3698630136986301,73,Redeemable
Under the Watching Eye, drawDeck,0.4603658536585366,328,High Play Rate with Average Strength,0.39416058394160586,137,Redeemable,0.4375,16,Average
There and Back Again, drawDeck,0.5781865965834428,761,High Play Rate with Average Strength,0.5216049382716049,648,High Play Rate with Average Strength,0.34545454545454546,55,Redeemable
Hobbit Stealth, drawDeck,0.4864091559370529,1398,High Play Rate with Average Strength,0.3,30,Redeemable,0.4,10,Low Play Rate with Average Strength
Delving, drawDeck,0.36363636363636365,66,Redeemable,0.5521739130434783,230,High Play Rate with Average Strength,0.26666666666666666,15,Trash
Hand Axe, drawDeck,0.43654114365411434,717,High Play Rate with Average Strength,0.5261845386533666,802,High Play Rate with Average Strength,0.48044692737430167,179,High Play Rate with Average Strength
Mithril-coat, drawDeck,0.516629711751663,902,High Play Rate with Average Strength,0.5190476190476191,210,High Play Rate with Average Strength,0.4473684210526316,38,Average
Tidings of Erebor, drawDeck,0.4074074074074074,27,Low Play Rate with Average Strength,0.7547169811320755,53,Standard Power Picks,0.35714285714285715,14,Redeemable
Dwarven Bracers, drawDeck,0.43255131964809385,682,High Play Rate with Average Strength,0.5088676671214188,733,High Play Rate with Average Strength,0.5157894736842106,190,High Play Rate with Average Strength
Memory of Many Things, drawDeck,0.4878048780487805,164,Average,0.2692307692307692,26,Trash,0.5,2,Unplayed
Tower Assassin, drawDeck,0.5080745341614907,805,High Play Rate with Average Strength,0.5131578947368421,228,High Play Rate with Average Strength,0.2558139534883721,43,Trash
Book of Mazarbul, drawDeck,0.4198645598194131,443,High Play Rate with Average Strength,0.375,56,Redeemable,0.25,4,Trash
Too Great and Terrible, drawDeck,0.5531914893617021,517,High Play Rate with Average Strength,0.5586592178770949,179,High Play Rate with Average Strength,0.6090534979423868,243,Meta Dominating Power Picks
Farin: Dwarven Emissary, drawDeck,0.4353448275862069,464,High Play Rate with Average Strength,0.41935483870967744,31,Low Play Rate with Average Strength,,,N/A
Gimli: Dwarf of Erebor, drawDeck,0.41025641025641024,39,Low Play Rate with Average Strength,1,2,Unplayed,,,N/A
Sam: Son of Hamfast, drawDeck,0.5217391304347826,1426,High Play Rate with Average Strength,0.5447928331466966,1786,High Play Rate with Average Strength,0.25,4,Trash
Sting, drawDeck,0.49849462365591396,2325,High Play Rate with Average Strength,0.4186046511627907,258,High Play Rate with Average Strength,0.37681159420289856,69,Redeemable
Dwarven Axe, drawDeck,0.43151969981238275,533,High Play Rate with Average Strength,0.5329428989751098,683,High Play Rate with Average Strength,0.441025641025641,195,High Play Rate with Average Strength
O Elbereth, drawDeck,0.5286195286195287,1188,High Play Rate with Average Strength,0.4793814432989691,582,High Play Rate with Average Strength,0.36904761904761907,84,Redeemable
Fror: Gimli's Kinsman, drawDeck,0.425764192139738,458,High Play Rate with Average Strength,0.3,20,Redeemable,0.29411764705882354,17,Trash
Aragorn: Heir to the White City, drawDeck,0.5240384615384616,832,High Play Rate with Average Strength,0.375,128,Redeemable,0.6,10,Sleeper or Niche Power Picks
Bree Streets, site,0.5377532228360957,543,High Play Rate with Average Strength,,,N/A,,,N/A
Ford of Bruinen, site,0.5370892018779343,1065,High Play Rate with Average Strength,,,N/A,,,N/A
Hollin, site,0.4959183673469388,490,High Play Rate with Average Strength,,,N/A,,,N/A
Valley of the Silverlode, site,0.456,375,High Play Rate with Average Strength,,,N/A,,,N/A
Anduin Wilderland, site,0.5314834578441836,937,High Play Rate with Average Strength,,,N/A,,,N/A
101_63, site,0.5348258706467661,804,High Play Rate with Average Strength,,,N/A,,,N/A
Summit of Amon Hen, site,0.5132806891600862,1393,High Play Rate with Average Strength,,,N/A,,,N/A
Ranger's Sword, drawDeck,0.5176178660049627,2015,High Play Rate with Average Strength,0.4528301886792453,371,High Play Rate with Average Strength,0.36363636363636365,11,Redeemable
The Saga of Elendil, drawDeck,0.5136186770428015,514,High Play Rate with Average Strength,0.34023668639053256,338,Redeemable,0.43478260869565216,92,High Play Rate with Average Strength
All Blades Perish, drawDeck,0.42857142857142855,105,Average,0.4605263157894737,152,Average,0.5238095238095238,21,Average
Black Breath, drawDeck,0.5574324324324325,592,High Play Rate with Average Strength,0.4695121951219512,164,High Play Rate with Average Strength,0.49019607843137253,51,High Play Rate with Average Strength
Blade Tip, drawDeck,0.5558698727015559,707,High Play Rate with Average Strength,0.5304347826086957,115,Average,0.5,50,High Play Rate with Average Strength
Morgul Blade, drawDeck,0.41044776119402987,134,Average,,4,Unplayed,0.5,4,Low Play Rate with Average Strength
Morgul Gates, drawDeck,0.5531295487627366,687,High Play Rate with Average Strength,0.48412698412698413,126,Average,0.2916666666666667,24,Trash
Nazgul Sword, drawDeck,0.568935427574171,573,High Play Rate with Average Strength,0.46808510638297873,47,Low Play Rate with Average Strength,0.3783783783783784,37,Redeemable
The Pale Blade, drawDeck,0.5575221238938053,565,High Play Rate with Average Strength,0.5450643776824035,233,High Play Rate with Average Strength,0.41935483870967744,31,Average
Relentless Charge, drawDeck,0.5827067669172933,532,High Play Rate with Average Strength,0.32142857142857145,28,Redeemable,0.5483870967741935,31,Average
Threshold of Shadow, drawDeck,0.5144508670520231,173,Average,0.15384615384615385,13,Trash,1,1,Unplayed
Ulaire Attea: Keeper of Dol Guldur, drawDeck,0.5609756097560976,656,High Play Rate with Average Strength,0.5933333333333334,150,Average,0.34615384615384615,26,Redeemable
Ulaire Toldea: Messenger of Morgul, drawDeck,0.5273556231003039,658,High Play Rate with Average Strength,0.4562043795620438,274,High Play Rate with Average Strength,0.5,24,Average
