Card,Block,Category/Count,Games,Win Rate,Play Rate,Weighted Play Rate,Weighted Inclusion Rate
"•The One Ring, The Great Ring",Expanded (PC),The One Ring,166,0.5241,0.3825,3.06,3.06
"•The One Ring, The Great Ring",All Blocks (PC),The One Ring,166,0.5241,0.1461,2.19,2.19
"•Frodo, Resolute Hobbit",Expanded (PC),Ring Bearer,67,0.5224,0.1544,2.78,2.78
"•Frodo, Resolute Hobbit",Movie Block (PC),Ring Bearer,61,0.4262,0.1981,2.77,2.77
"•Frodo, Resolute Hobbit",All Blocks (PC),Ring Bearer,128,0.4766,0.1127,3.94,3.94
"•The One Ring, Answer To All Riddles",Expanded (PC),The One Ring,35,0.3429,0.0806,0.64,0.64
"•The One Ring, Answer To All Riddles",Movie Block (PC),The One Ring,180,0.4833,0.5844,2.92,2.92
"•The One Ring, Answer To All Riddles",All Blocks (PC),The One Ring,215,0.4605,0.1893,2.84,2.84
"•Frodo, Old Bilbo's Heir",Expanded (PC),Ring Bearer,9,0.3333,0.0207,0.37,0.37
"•Frodo, Old Bilbo's Heir",Fellowship Block (PC),Ring Bearer,76,0.4342,0.1929,0.58,0.58
"•Frodo, Old Bilbo's Heir",Movie Block (PC),Ring Bearer,17,0.4118,0.0552,0.77,0.77
"•Frodo, Old Bilbo's Heir",All Blocks (PC),Ring Bearer,102,0.4216,0.0898,3.14,3.14
"Courtyard Parapet",Expanded (PC),Site,72,0.4861,0.1659,13.27,13.27
"Courtyard Parapet",All Blocks (PC),Site,72,0.4861,0.0634,11.96,11.96
"Neekerbreekers' Bog",Expanded (PC),Site,116,0.5172,0.2673,21.38,21.38
"Neekerbreekers' Bog",All Blocks (PC),Site,116,0.5172,0.1021,19.26,19.26
"Pelennor Fields",Expanded (PC),Site,10,0.7000,0.0230,1.84,1.84
"Pelennor Fields",All Blocks (PC),Site,10,0.7000,0.0088,1.66,1.66
"Fords of Isen",Expanded (PC),Site,50,0.3800,0.1152,9.22,9.22
"Fords of Isen",All Blocks (PC),Site,50,0.3800,0.0440,8.30,8.30
"Helm's Gate",Expanded (PC),Site,97,0.4742,0.2235,17.88,17.88
"Helm's Gate",All Blocks (PC),Site,97,0.4742,0.0854,16.11,16.11
"Moria Stairway",Expanded (PC),Site,112,0.5089,0.2581,20.65,20.65
"Moria Stairway",Fellowship Block (PC),Site,6,0.3333,0.0152,0.97,0.97
"Moria Stairway",All Blocks (PC),Site,118,0.5000,0.1039,19.60,19.60
"Harrowdale",Expanded (PC),Site,101,0.6139,0.2327,18.62,18.62
"Harrowdale",All Blocks (PC),Site,101,0.6139,0.0889,16.77,16.77
"Trollshaw Forest",Expanded (PC),Site,99,0.4848,0.2281,18.25,18.25
"Trollshaw Forest",Fellowship Block (PC),Site,63,0.2540,0.1599,10.25,10.25
"Trollshaw Forest",All Blocks (PC),Site,162,0.3951,0.1426,26.91,26.91
"Sirannon Ruins",Expanded (PC),Site,144,0.5417,0.3318,26.54,26.54
"Sirannon Ruins",All Blocks (PC),Site,144,0.5417,0.1268,23.92,23.92
"•Firefoot, Mearas of the Mark",Expanded (PC),1,9,0.6667,0.0207,Unknown,0.82
"•Firefoot, Mearas of the Mark",Expanded (PC),Any,9,0.6667,0.0207,Unknown,0.82
"•Firefoot, Mearas of the Mark",All Blocks (PC),Any,9,0.6667,0.0079,Unknown,0.62
"Heavy Chain",Expanded (PC),1,7,0.2857,0.0161,Unknown,0.63
"Heavy Chain",Expanded (PC),2,1,1.0000,0.0023,Unknown,0.09
"Heavy Chain",Expanded (PC),3,5,0.4000,0.0115,Unknown,0.45
"Heavy Chain",Expanded (PC),Any,13,0.3846,0.0300,Unknown,1.18
"Heavy Chain",Movie Block (PC),2,1,1.0000,0.0032,Unknown,0.08
"Heavy Chain",Movie Block (PC),Any,1,1.0000,0.0032,Unknown,0.08
"Heavy Chain",All Blocks (PC),Any,14,0.4286,0.0123,Unknown,0.96
"•Freely Across Our Land",Expanded (PC),1,81,0.5556,0.1866,Unknown,7.35
"•Freely Across Our Land",Expanded (PC),2,13,0.6923,0.0300,Unknown,1.18
"•Freely Across Our Land",Expanded (PC),3,1,1.0000,0.0023,Unknown,0.09
"•Freely Across Our Land",Expanded (PC),Any,95,0.5789,0.2189,Unknown,8.62
"•Freely Across Our Land",All Blocks (PC),Any,95,0.5789,0.0836,Unknown,6.50
"Last Days of My House",Expanded (PC),1,1,1.0000,0.0023,Unknown,0.09
"Last Days of My House",Expanded (PC),2,2,0.5000,0.0046,Unknown,0.18
"Last Days of My House",Expanded (PC),3,63,0.5714,0.1452,Unknown,5.71
"Last Days of My House",Expanded (PC),4,1,1.0000,0.0023,Unknown,0.09
"Last Days of My House",Expanded (PC),Any,67,0.5821,0.1544,Unknown,6.08
"Last Days of My House",All Blocks (PC),Any,67,0.5821,0.0590,Unknown,4.59
"Rohan Stable Master",Expanded (PC),1,4,0.5000,0.0092,Unknown,0.36
"Rohan Stable Master",Expanded (PC),2,3,0.0000,0.0069,Unknown,0.27
"Rohan Stable Master",Expanded (PC),3,66,0.5455,0.1521,Unknown,5.99
