Card,Block,Category/Count,Games,Win Rate,Play Rate,Weighted Play Rate,Weighted Inclusion Rate
"•The One Ring, Isildur's Bane",Movie Block (PC),The One Ring,77,0.6623,0.1869,0.75,0.75
"•The One Ring, Isildur's Bane",Fellowship Block (PC),The One Ring,339,0.5015,0.9576,1.92,1.92
"•The One Ring, Isildur's Bane",All Blocks (PC),The One Ring,416,0.5313,0.3240,4.21,4.21
"•Galadriel, Bearer of Wisdom",Movie Block (PC),Ring Bearer,71,0.4648,0.1723,2.41,2.41
"•Galadriel, Bearer of Wisdom",Expanded (PC),Ring Bearer,116,0.4483,0.2239,3.58,3.58
"•Galadriel, Bearer of Wisdom",All Blocks (PC),Ring Bearer,187,0.4545,0.1456,4.81,4.81
"•The One Ring, Answer To All Riddles",Movie Block (PC),The One Ring,211,0.5024,0.5121,2.05,2.05
"•The One Ring, Answer To All Riddles",Expanded (PC),The One Ring,38,0.2105,0.0734,0.51,0.51
"•The One Ring, Answer To All Riddles",All Blocks (PC),The One Ring,249,0.4578,0.1939,2.52,2.52
"•Gimli, Bearer of Grudges",Movie Block (PC),Ring Bearer,73,0.5616,0.1772,2.48,2.48
"•Gimli, Bearer of Grudges",Expanded (PC),Ring Bearer,77,0.5974,0.1486,2.38,2.38
"•Gimli, Bearer of Grudges",All Blocks (PC),Ring Bearer,150,0.5800,0.1168,3.85,3.85
"Rohirrim Road",Movie Block (PC),Site,61,0.4754,0.1481,6.36,6.36
"Rohirrim Road",All Blocks (PC),Site,61,0.4754,0.0475,8.80,8.80
"Rohirrim Camp",Movie Block (PC),Site,177,0.4802,0.4296,18.44,18.44
"Rohirrim Camp",All Blocks (PC),Site,177,0.4802,0.1379,25.54,25.54
"Beacon of Minas Tirith",Movie Block (PC),Site,10,0.2000,0.0243,1.04,1.04
"Beacon of Minas Tirith",All Blocks (PC),Site,10,0.2000,0.0078,1.44,1.44
"Pelennor Plain",Movie Block (PC),Site,48,0.5625,0.1165,5.00,5.00
"Pelennor Plain",All Blocks (PC),Site,48,0.5625,0.0374,6.93,6.93
"Steward's Tomb",Movie Block (PC),Site,89,0.6292,0.2160,9.27,9.27
"Steward's Tomb",Expanded (PC),Site,107,0.4579,0.2066,16.53,16.53
"Steward's Tomb",All Blocks (PC),Site,196,0.5357,0.1526,28.26,28.26
"Minas Tirith Seventh Circle",Movie Block (PC),Site,78,0.4231,0.1893,8.12,8.12
"Minas Tirith Seventh Circle",All Blocks (PC),Site,78,0.4231,0.0607,11.24,11.24
"Osgiliath Channel",Movie Block (PC),Site,103,0.5243,0.2500,10.73,10.73
"Osgiliath Channel",All Blocks (PC),Site,103,0.5243,0.0802,14.85,14.85
"Morgulduin",Movie Block (PC),Site,154,0.5000,0.3738,16.04,16.04
"Morgulduin",All Blocks (PC),Site,154,0.5000,0.1199,22.20,22.20
"Slag Mounds",Movie Block (PC),Site,139,0.4388,0.3374,14.48,14.48
"Slag Mounds",Expanded (PC),Site,18,0.3889,0.0347,2.78,2.78
"Slag Mounds",All Blocks (PC),Site,157,0.4331,0.1223,22.65,22.65
"•Arwen, Queen of Elves and Men",Movie Block (PC),1,37,0.4324,0.0898,Unknown,2.50
"•Arwen, Queen of Elves and Men",Movie Block (PC),2,1,0.0000,0.0024,Unknown,0.07
"•Arwen, Queen of Elves and Men",Movie Block (PC),Any,38,0.4211,0.0922,Unknown,2.57
"•Arwen, Queen of Elves and Men",Expanded (PC),1,37,0.2973,0.0714,Unknown,2.96
"•Arwen, Queen of Elves and Men",Expanded (PC),4,1,0.0000,0.0019,Unknown,0.08
"•Arwen, Queen of Elves and Men",Expanded (PC),Any,38,0.2895,0.0734,Unknown,3.04
"•Arwen, Queen of Elves and Men",All Blocks (PC),Any,76,0.3553,0.0592,Unknown,4.85
"•Bill Ferny, Swarthy Sneering Fellow",Movie Block (PC),1,10,0.3000,0.0243,Unknown,0.68
"•Bill Ferny, Swarthy Sneering Fellow",Movie Block (PC),2,17,0.4706,0.0413,Unknown,1.15
"•Bill Ferny, Swarthy Sneering Fellow",Movie Block (PC),3,1,1.0000,0.0024,Unknown,0.07
"•Bill Ferny, Swarthy Sneering Fellow",Movie Block (PC),Any,28,0.4286,0.0680,Unknown,1.89
"•Bill Ferny, Swarthy Sneering Fellow",Fellowship Block (PC),1,21,0.5238,0.0593,Unknown,0.72
"•Bill Ferny, Swarthy Sneering Fellow",Fellowship Block (PC),2,10,0.0000,0.0282,Unknown,0.34
"•Bill Ferny, Swarthy Sneering Fellow",Fellowship Block (PC),3,3,0.0000,0.0085,Unknown,0.10
"•Bill Ferny, Swarthy Sneering Fellow",Fellowship Block (PC),Any,34,0.3235,0.0960,Unknown,1.16
"•Bill Ferny, Swarthy Sneering Fellow",Expanded (PC),1,20,0.4500,0.0386,Unknown,1.60
"•Bill Ferny, Swarthy Sneering Fellow",Expanded (PC),Any,20,0.4500,0.0386,Unknown,1.60
"•Bill Ferny, Swarthy Sneering Fellow",All Blocks (PC),Any,82,0.3902,0.0639,Unknown,5.23
"•Vilya",Movie Block (PC),1,55,0.6182,0.1335,Unknown,3.72
"•Vilya",Movie Block (PC),2,37,0.6216,0.0898,Unknown,2.50
"•Vilya",Movie Block (PC),Any,92,0.6196,0.2233,Unknown,6.22
"•Vilya",Fellowship Block (PC),1,54,0.4630,0.1525,Unknown,1.85
"•Vilya",Fellowship Block (PC),2,1,1.0000,0.0028,Unknown,0.03
"•Vilya",Fellowship Block (PC),Any,55,0.4727,0.1554,Unknown,1.88
"•Vilya",Expanded (PC),1,3,0.3333,0.0058,Unknown,0.24
"•Vilya",Expanded (PC),Any,3,0.3333,0.0058,Unknown,0.24
"•Vilya",All Blocks (PC),Any,150,0.5600,0.1168,Unknown,9.56
"•Gwemegil",Movie Block (PC),1,47,0.4894,0.1141,Unknown,3.18
"•Gwemegil",Movie Block (PC),2,7,0.4286,0.0170,Unknown,0.47
"•Gwemegil",Movie Block (PC),3,8,0.3750,0.0194,Unknown,0.54
"•Gwemegil",Movie Block (PC),Any,62,0.4677,0.1505,Unknown,4.19
"•Gwemegil",Fellowship Block (PC),1,110,0.5636,0.3107,Unknown,3.76
"•Gwemegil",Fellowship Block (PC),2,24,0.5833,0.0678,Unknown,0.82
"•Gwemegil",Fellowship Block (PC),3,5,0.2000,0.0141,Unknown,0.17
"•Gwemegil",Fellowship Block (PC),4,1,1.0000,0.0028,Unknown,0.03
"•Gwemegil",Fellowship Block (PC),Any,140,0.5571,0.3955,Unknown,4.79
"•Gwemegil",Expanded (PC),1,12,0.2500,0.0232,Unknown,0.96
"•Gwemegil",Expanded (PC),2,8,0.0000,0.0154,Unknown,0.64
"•Gwemegil",Expanded (PC),Any,20,0.1500,0.0386,Unknown,1.60
"•Gwemegil",All Blocks (PC),Any,222,0.4955,0.1729,Unknown,14.16
"Houses of Lamentation",Movie Block (PC),1,10,0.7000,0.0243,Unknown,0.68
"Houses of Lamentation",Movie Block (PC),2,1,1.0000,0.0024,Unknown,0.07
"Houses of Lamentation",Movie Block (PC),3,3,0.3333,0.0073,Unknown,0.20
"Houses of Lamentation",Movie Block (PC),4,1,0.0000,0.0024,Unknown,0.07
"Houses of Lamentation",Movie Block (PC),Any,15,0.6000,0.0364,Unknown,1.01
"Houses of Lamentation",Expanded (PC),1,10,0.5000,0.0193,Unknown,0.80
"Houses of Lamentation",Expanded (PC),Any,10,0.5000,0.0193,Unknown,0.80
"Houses of Lamentation",All Blocks (PC),Any,25,0.5600,0.0195,Unknown,1.59
"•Long-knives of Legolas",Movie Block (PC),1,15,0.4000,0.0364,Unknown,1.01
"•Long-knives of Legolas",Movie Block (PC),2,3,0.0000,0.0073,Unknown,0.20
"•Long-knives of Legolas",Movie Block (PC),Any,18,0.3333,0.0437,Unknown,1.22
"•Long-knives of Legolas",Expanded (PC),1,17,0.3529,0.0328,Unknown,1.36
"•Long-knives of Legolas",Expanded (PC),2,1,1.0000,0.0019,Unknown,0.08
"•Long-knives of Legolas",Expanded (PC),Any,18,0.3889,0.0347,Unknown,1.44
"•Long-knives of Legolas",Fellowship Block (PC),1,55,0.4000,0.1554,Unknown,1.88
"•Long-knives of Legolas",Fellowship Block (PC),Any,55,0.4000,0.1554,Unknown,1.88
"•Long-knives of Legolas",All Blocks (PC),Any,91,0.3846,0.0709,Unknown,5.80
"•Phial of Galadriel",Movie Block (PC),1,45,0.4667,0.1092,Unknown,3.04
"•Phial of Galadriel",Movie Block (PC),2,8,0.3750,0.0194,Unknown,0.54
"•Phial of Galadriel",Movie Block (PC),Any,53,0.4528,0.1286,Unknown,3.59
"•Phial of Galadriel",Expanded (PC),1,8,0.1250,0.0154,Unknown,0.64
"•Phial of Galadriel",Expanded (PC),2,8,0.0000,0.0154,Unknown,0.64
"•Phial of Galadriel",Expanded (PC),Any,16,0.0625,0.0309,Unknown,1.28
"•Phial of Galadriel",All Blocks (PC),Any,69,0.3623,0.0537,Unknown,4.40
"•The Tale of Gil-galad",Movie Block (PC),1,39,0.4359,0.0947,Unknown,2.64
"•The Tale of Gil-galad",Movie Block (PC),2,11,0.2727,0.0267,Unknown,0.74
"•The Tale of Gil-galad",Movie Block (PC),Any,50,0.4000,0.1214,Unknown,3.38
"•The Tale of Gil-galad",Expanded (PC),1,23,0.4783,0.0444,Unknown,1.84
"•The Tale of Gil-galad",Expanded (PC),2,11,0.0000,0.0212,Unknown,0.88
"•The Tale of Gil-galad",Expanded (PC),Any,34,0.3235,0.0656,Unknown,2.72
"•The Tale of Gil-galad",Fellowship Block (PC),1,39,0.4615,0.1102,Unknown,1.33
"•The Tale of Gil-galad",Fellowship Block (PC),2,1,0.0000,0.0028,Unknown,0.03
"•The Tale of Gil-galad",Fellowship Block (PC),Any,40,0.4500,0.1130,Unknown,1.37
"•The Tale of Gil-galad",All Blocks (PC),Any,124,0.3952,0.0966,Unknown,7.91
"•Black Flail",Movie Block (PC),1,2,0.5000,0.0049,Unknown,0.14
"•Black Flail",Movie Block (PC),3,3,0.3333,0.0073,Unknown,0.20
"•Black Flail",Movie Block (PC),Any,5,0.4000,0.0121,Unknown,0.34
"•Black Flail",Expanded (PC),1,1,0.0000,0.0019,Unknown,0.08
"•Black Flail",Expanded (PC),2,3,0.0000,0.0058,Unknown,0.24
"•Black Flail",Expanded (PC),4,5,0.8000,0.0097,Unknown,0.40
"•Black Flail",Expanded (PC),Any,9,0.4444,0.0174,Unknown,0.72
"•Black Flail",All Blocks (PC),Any,14,0.4286,0.0109,Unknown,0.89
"•Ulaire Enquea, Lieutenant of Morgul",Movie Block (PC),1,109,0.4771,0.2646,Unknown,7.37
"•Ulaire Enquea, Lieutenant of Morgul",Movie Block (PC),2,117,0.5812,0.2840,Unknown,7.92
"•Ulaire Enquea, Lieutenant of Morgul",Movie Block (PC),3,10,0.6000,0.0243,Unknown,0.68
"•Ulaire Enquea, Lieutenant of Morgul",Movie Block (PC),4,8,0.6250,0.0194,Unknown,0.54
"•Ulaire Enquea, Lieutenant of Morgul",Movie Block (PC),Any,244,0.5369,0.5922,Unknown,16.51
"•Ulaire Enquea, Lieutenant of Morgul",Fellowship Block (PC),1,56,0.4643,0.1582,Unknown,1.92
"•Ulaire Enquea, Lieutenant of Morgul",Fellowship Block (PC),2,130,0.5231,0.3672,Unknown,4.45
"•Ulaire Enquea, Lieutenant of Morgul",Fellowship Block (PC),3,43,0.6512,0.1215,Unknown,1.47
"•Ulaire Enquea, Lieutenant of Morgul",Fellowship Block (PC),4,1,0.0000,0.0028,Unknown,0.03
"•Ulaire Enquea, Lieutenant of Morgul",Fellowship Block (PC),Any,230,0.5304,0.6497,Unknown,7.87
"•Ulaire Enquea, Lieutenant of Morgul",Expanded (PC),1,128,0.5781,0.2471,Unknown,10.22
"•Ulaire Enquea, Lieutenant of Morgul",Expanded (PC),2,81,0.5309,0.1564,Unknown,6.47
"•Ulaire Enquea, Lieutenant of Morgul",Expanded (PC),3,16,0.3125,0.0309,Unknown,1.28
"•Ulaire Enquea, Lieutenant of Morgul",Expanded (PC),4,6,0.6667,0.0116,Unknown,0.48
"•Ulaire Enquea, Lieutenant of Morgul",Expanded (PC),Any,231,0.5455,0.4459,Unknown,18.45
"•Ulaire Enquea, Lieutenant of Morgul",All Blocks (PC),Any,705,0.5376,0.5491,Unknown,44.95
"Elven Bow",Movie Block (PC),2,5,0.2000,0.0121,Unknown,0.34
"Elven Bow",Movie Block (PC),3,8,0.6250,0.0194,Unknown,0.54
"Elven Bow",Movie Block (PC),4,35,0.4286,0.0850,Unknown,2.37
"Elven Bow",Movie Block (PC),Any,48,0.4375,0.1165,Unknown,3.25
"Elven Bow",Expanded (PC),1,1,0.0000,0.0019,Unknown,0.08
"Elven Bow",Expanded (PC),2,10,0.5000,0.0193,Unknown,0.80
"Elven Bow",Expanded (PC),3,3,0.0000,0.0058,Unknown,0.24
"Elven Bow",Expanded (PC),4,30,0.2333,0.0579,Unknown,2.40
"Elven Bow",Expanded (PC),Any,44,0.2727,0.0849,Unknown,3.51
"Elven Bow",Fellowship Block (PC),1,22,0.3182,0.0621,Unknown,0.75
"Elven Bow",Fellowship Block (PC),2,46,0.5435,0.1299,Unknown,1.57
"Elven Bow",Fellowship Block (PC),3,1,0.0000,0.0028,Unknown,0.03
"Elven Bow",Fellowship Block (PC),Any,69,0.4638,0.1949,Unknown,2.36
"Elven Bow",All Blocks (PC),Any,161,0.4037,0.1254,Unknown,10.27
"•Ulaire Cantea, Lieutenant of Dol Guldur",Movie Block (PC),1,2,0.0000,0.0049,Unknown,0.14
"•Ulaire Cantea, Lieutenant of Dol Guldur",Movie Block (PC),2,3,0.3333,0.0073,Unknown,0.20
"•Ulaire Cantea, Lieutenant of Dol Guldur",Movie Block (PC),Any,5,0.2000,0.0121,Unknown,0.34
"•Ulaire Cantea, Lieutenant of Dol Guldur",Fellowship Block (PC),1,9,0.4444,0.0254,Unknown,0.31
"•Ulaire Cantea, Lieutenant of Dol Guldur",Fellowship Block (PC),2,25,0.3600,0.0706,Unknown,0.86
"•Ulaire Cantea, Lieutenant of Dol Guldur",Fellowship Block (PC),3,32,0.6875,0.0904,Unknown,1.09
"•Ulaire Cantea, Lieutenant of Dol Guldur",Fellowship Block (PC),4,44,0.6364,0.1243,Unknown,1.50
"•Ulaire Cantea, Lieutenant of Dol Guldur",Fellowship Block (PC),Any,110,0.5727,0.3107,Unknown,3.76
"•Ulaire Cantea, Lieutenant of Dol Guldur",Expanded (PC),2,1,0.0000,0.0019,Unknown,0.08
"•Ulaire Cantea, Lieutenant of Dol Guldur",Expanded (PC),Any,1,0.0000,0.0019,Unknown,0.08
"•Ulaire Cantea, Lieutenant of Dol Guldur",All Blocks (PC),Any,116,0.5517,0.0903,Unknown,7.40
"•Ring of Asperity",Movie Block (PC),1,13,0.4615,0.0316,Unknown,0.88
"•Ring of Asperity",Movie Block (PC),2,10,0.7000,0.0243,Unknown,0.68
"•Ring of Asperity",Movie Block (PC),3,4,0.5000,0.0097,Unknown,0.27
"•Ring of Asperity",Movie Block (PC),Any,27,0.5556,0.0655,Unknown,1.83
"•Ring of Asperity",Expanded (PC),1,1,0.0000,0.0019,Unknown,0.08
"•Ring of Asperity",Expanded (PC),2,11,0.3636,0.0212,Unknown,0.88
"•Ring of Asperity",Expanded (PC),Any,12,0.3333,0.0232,Unknown,0.96
"•Ring of Asperity",All Blocks (PC),Any,39,0.4872,0.0304,Unknown,2.49
"Double Shot",Movie Block (PC),1,38,0.7105,0.0922,Unknown,2.57
"Double Shot",Movie Block (PC),2,10,0.5000,0.0243,Unknown,0.68
"Double Shot",Movie Block (PC),3,3,0.3333,0.0073,Unknown,0.20
"Double Shot",Movie Block (PC),4,24,0.5000,0.0583,Unknown,1.62
"Double Shot",Movie Block (PC),Any,75,0.6000,0.1820,Unknown,5.07
"Double Shot",Expanded (PC),1,8,0.0000,0.0154,Unknown,0.64
"Double Shot",Expanded (PC),2,7,0.5714,0.0135,Unknown,0.56
"Double Shot",Expanded (PC),3,11,0.3636,0.0212,Unknown,0.88
"Double Shot",Expanded (PC),4,12,0.1667,0.0232,Unknown,0.96
"Double Shot",Expanded (PC),Any,38,0.2632,0.0734,Unknown,3.04
"Double Shot",Fellowship Block (PC),2,20,0.4500,0.0565,Unknown,0.68
"Double Shot",Fellowship Block (PC),4,30,0.5000,0.0847,Unknown,1.03
"Double Shot",Fellowship Block (PC),Any,50,0.4800,0.1412,Unknown,1.71
"Double Shot",All Blocks (PC),Any,163,0.4847,0.1269,Unknown,10.39
"•Cirdan, The Shipwright",Movie Block (PC),1,34,0.3824,0.0825,Unknown,2.30
"•Cirdan, The Shipwright",Movie Block (PC),2,11,0.6364,0.0267,Unknown,0.74
"•Cirdan, The Shipwright",Movie Block (PC),3,7,0.2857,0.0170,Unknown,0.47
"•Cirdan, The Shipwright",Movie Block (PC),Any,52,0.4231,0.1262,Unknown,3.52
"•Cirdan, The Shipwright",Expanded (PC),1,27,0.2222,0.0521,Unknown,2.16
"•Cirdan, The Shipwright",Expanded (PC),2,3,0.3333,0.0058,Unknown,0.24
"•Cirdan, The Shipwright",Expanded (PC),3,6,0.1667,0.0116,Unknown,0.48
"•Cirdan, The Shipwright",Expanded (PC),Any,36,0.2222,0.0695,Unknown,2.88
"•Cirdan, The Shipwright",All Blocks (PC),Any,88,0.3409,0.0685,Unknown,5.61
