Card,Block,Category/Count,Games,Win Rate,Play Rate,Weighted Play Rate,Weighted Inclusion Rate
"•The One Ring, Isildur's Bane",Fellowship Block (PC),The One Ring,73,0.5342,0.7604,1.52,1.52
"•The One Ring, Isildur's Bane",Movie Block (PC),The One Ring,47,0.3830,0.1691,0.68,0.68
"•The One Ring, Isildur's Bane",All Blocks (PC),The One Ring,120,0.4750,0.2956,3.25,3.25
"•Frodo, Old Bilbo's Heir",Fellowship Block (PC),Ring Bearer,40,0.3750,0.4167,1.25,1.25
"•Frodo, Old Bilbo's Heir",Movie Block (PC),Ring Bearer,61,0.4754,0.2194,3.07,3.07
"•Frodo, Old Bilbo's Heir",Expanded (PC),Ring Bearer,1,0.0000,0.0313,0.41,0.41
"•Frodo, Old Bilbo's Heir",All Blocks (PC),Ring Bearer,102,0.4314,0.2512,7.54,7.54
"•Frodo, Reluctant Adventurer",Fellowship Block (PC),Ring Bearer,55,0.5818,0.5729,1.72,1.72
"•Frodo, Reluctant Adventurer",Movie Block (PC),Ring Bearer,26,0.3846,0.0935,1.31,1.31
"•Frodo, Reluctant Adventurer",All Blocks (PC),Ring Bearer,81,0.5185,0.1995,5.99,5.99
"The Prancing Pony",Fellowship Block (PC),Site,53,0.6226,0.5521,32.67,32.67
"The Prancing Pony",Expanded (PC),Site,8,0.5000,0.2500,15.53,15.53
"The Prancing Pony",All Blocks (PC),Site,61,0.6066,0.1502,24.62,24.62
"Bree Streets",Fellowship Block (PC),Site,22,0.4091,0.2292,13.56,13.56
"Bree Streets",All Blocks (PC),Site,22,0.4091,0.0542,8.89,8.89
"Ford of Bruinen",Fellowship Block (PC),Site,29,0.4828,0.3021,17.88,17.88
"Ford of Bruinen",All Blocks (PC),Site,29,0.4828,0.0714,11.70,11.70
"Eregion Hills",Fellowship Block (PC),Site,36,0.4722,0.3750,22.19,22.19
"Eregion Hills",All Blocks (PC),Site,36,0.4722,0.0887,14.54,14.54
"The Bridge of Khazad-dum",Fellowship Block (PC),Site,96,0.5000,1.0000,59.17,59.17
"The Bridge of Khazad-dum",Expanded (PC),Site,6,0.6667,0.1875,11.65,11.65
"The Bridge of Khazad-dum",All Blocks (PC),Site,102,0.5098,0.2512,41.18,41.18
"Caras Galadhon",Fellowship Block (PC),Site,22,0.5909,0.2292,13.56,13.56
"Caras Galadhon",Expanded (PC),Site,15,0.5333,0.4688,29.12,29.12
"Caras Galadhon",All Blocks (PC),Site,37,0.5676,0.0911,14.93,14.93
"Anduin Confluence",Fellowship Block (PC),Site,32,0.5313,0.3333,19.72,19.72
"Anduin Confluence",Expanded (PC),Site,4,0.5000,0.1250,7.76,7.76
"Anduin Confluence",All Blocks (PC),Site,36,0.5278,0.0887,14.54,14.54
"Shores of Nen Hithoel",Fellowship Block (PC),Site,30,0.6667,0.3125,18.49,18.49
"Shores of Nen Hithoel",All Blocks (PC),Site,30,0.6667,0.0739,12.11,12.11
"Summit of Amon Hen",Fellowship Block (PC),Site,42,0.5000,0.4375,25.89,25.89
"Summit of Amon Hen",All Blocks (PC),Site,42,0.5000,0.1034,16.95,16.95
"•Gandalf, The Grey Pilgrim",Fellowship Block (PC),1,16,0.4375,0.1667,Unknown,1.54
"•Gandalf, The Grey Pilgrim",Fellowship Block (PC),2,1,1.0000,0.0104,Unknown,0.10
"•Gandalf, The Grey Pilgrim",Fellowship Block (PC),3,2,0.5000,0.0208,Unknown,0.19
"•Gandalf, The Grey Pilgrim",Fellowship Block (PC),Any,19,0.4737,0.1979,Unknown,1.83
"•Gandalf, The Grey Pilgrim",Movie Block (PC),1,1,1.0000,0.0036,Unknown,0.09
"•Gandalf, The Grey Pilgrim",Movie Block (PC),2,1,0.0000,0.0036,Unknown,0.09
"•Gandalf, The Grey Pilgrim",Movie Block (PC),Any,2,0.5000,0.0072,Unknown,0.17
"•Gandalf, The Grey Pilgrim",All Blocks (PC),Any,21,0.4762,0.0517,Unknown,2.64
