Card,Block,Category/Count,Games,Win Rate,Play Rate,Weighted Play Rate,Weighted Inclusion Rate
"•The One Ring, Isildur's Bane",Fellowship Block (PC),The One Ring,517,0.5106,0.9299,1.86,1.86
"•The One Ring, Isildur's Bane",Movie Block (PC),The One Ring,35,0.4000,0.0665,0.33,0.33
"•The One Ring, Isildur's Bane",All Blocks (PC),The One Ring,552,0.5036,0.4539,6.36,6.36
"•Frodo, Reluctant Adventurer",Fellowship Block (PC),Ring Bearer,349,0.5444,0.6277,1.88,1.88
"•Frodo, Reluctant Adventurer",Expanded (PC),Ring Bearer,2,0.5000,0.0149,0.25,0.25
"•Frodo, Reluctant Adventurer",Movie Block (PC),Ring Bearer,26,0.5385,0.0494,0.64,0.64
"•Frodo, Reluctant Adventurer",All Blocks (PC),Ring Bearer,377,0.5438,0.3100,10.23,10.23
"•Frodo, Old Bilbo's Heir",Fellowship Block (PC),Ring Bearer,169,0.4083,0.3040,0.91,0.91
"•Frodo, Old Bilbo's Heir",Movie Block (PC),Ring Bearer,56,0.3929,0.1065,1.38,1.38
"•Frodo, Old Bilbo's Heir",Expanded (PC),Ring Bearer,4,0.2500,0.0299,0.51,0.51
"•Frodo, Old Bilbo's Heir",All Blocks (PC),Ring Bearer,229,0.4017,0.1883,6.21,6.21
"The Prancing Pony",Fellowship Block (PC),Site,293,0.5324,0.5270,33.78,33.78
"The Prancing Pony",Expanded (PC),Site,30,0.6000,0.2239,17.22,17.22
"The Prancing Pony",All Blocks (PC),Site,323,0.5387,0.2656,49.19,49.19
"Trollshaw Forest",Fellowship Block (PC),Site,102,0.4902,0.1835,11.76,11.76
"Trollshaw Forest",Expanded (PC),Site,51,0.4902,0.3806,29.28,29.28
"Trollshaw Forest",All Blocks (PC),Site,153,0.4902,0.1258,23.30,23.30
"House of Elrond",Fellowship Block (PC),Site,31,0.3548,0.0558,3.58,3.58
"House of Elrond",All Blocks (PC),Site,31,0.3548,0.0255,4.72,4.72
"Hollin",Fellowship Block (PC),Site,60,0.5000,0.1079,6.92,6.92
"Hollin",All Blocks (PC),Site,60,0.5000,0.0493,9.13,9.13
"The Bridge of Khazad-dum",Fellowship Block (PC),Site,556,0.5000,1.0000,64.10,64.10
"The Bridge of Khazad-dum",Expanded (PC),Site,19,0.5789,0.1418,10.91,10.91
"The Bridge of Khazad-dum",All Blocks (PC),Site,575,0.5026,0.4729,87.57,87.57
"Caras Galadhon",Fellowship Block (PC),Site,197,0.4467,0.3543,22.71,22.71
"Caras Galadhon",Expanded (PC),Site,54,0.5556,0.4030,31.00,31.00
"Caras Galadhon",All Blocks (PC),Site,251,0.4701,0.2064,38.22,38.22
"Anduin Confluence",Fellowship Block (PC),Site,184,0.4511,0.3309,21.21,21.21
"Anduin Confluence",Expanded (PC),Site,2,0.0000,0.0149,1.15,1.15
"Anduin Confluence",All Blocks (PC),Site,186,0.4462,0.1530,28.33,28.33
"Gates of Argonath",Fellowship Block (PC),Site,59,0.6610,0.1061,6.80,6.80
"Gates of Argonath",All Blocks (PC),Site,59,0.6610,0.0485,8.98,8.98
"Slopes of Amon Hen",Fellowship Block (PC),Site,57,0.4737,0.1025,6.57,6.57
"Slopes of Amon Hen",All Blocks (PC),Site,57,0.4737,0.0469,8.69,8.69
"•Saruman, Keeper of Isengard",Fellowship Block (PC),1,2,0.5000,0.0036,Unknown,0.05
"•Saruman, Keeper of Isengard",Fellowship Block (PC),2,10,0.3000,0.0180,Unknown,0.24
"•Saruman, Keeper of Isengard",Fellowship Block (PC),3,37,0.5946,0.0665,Unknown,0.89
"•Saruman, Keeper of Isengard",Fellowship Block (PC),4,4,0.2500,0.0072,Unknown,0.10
"•Saruman, Keeper of Isengard",Fellowship Block (PC),Any,53,0.5094,0.0953,Unknown,1.27
"•Saruman, Keeper of Isengard",Movie Block (PC),3,2,0.0000,0.0038,Unknown,0.11
"•Saruman, Keeper of Isengard",Movie Block (PC),Any,2,0.0000,0.0038,Unknown,0.11
"•Saruman, Keeper of Isengard",All Blocks (PC),Any,55,0.4909,0.0452,Unknown,3.44
"•The Palantir of Orthanc",Fellowship Block (PC),1,5,0.2000,0.0090,Unknown,0.12
"•The Palantir of Orthanc",Fellowship Block (PC),4,1,0.0000,0.0018,Unknown,0.02
"•The Palantir of Orthanc",Fellowship Block (PC),Any,6,0.1667,0.0108,Unknown,0.14
"•The Palantir of Orthanc",Movie Block (PC),2,3,0.3333,0.0057,Unknown,0.16
"•The Palantir of Orthanc",Movie Block (PC),3,15,0.5333,0.0285,Unknown,0.80
