Card,Block,Category/Count,Games,Win Rate,Play Rate,Weighted Play Rate,Weighted Inclusion Rate
"•The One Ring, Isildur's Bane",Fellowship Block (PC),The One Ring,696,0.5057,0.9613,1.92,1.92
"•The One Ring, Isildur's Bane",Movie Block (PC),The One Ring,47,0.4894,0.0420,0.17,0.17
"•The One Ring, Isildur's Bane",Expanded (PC),The One Ring,1,1.0000,0.0054,0.04,0.04
"•The One Ring, Isildur's Bane",All Blocks (PC),The One Ring,744,0.5054,0.3669,4.77,4.77
"•Frodo, Reluctant Adventurer",Fellowship Block (PC),Ring Bearer,432,0.4838,0.5967,1.79,1.79
"•Frodo, Reluctant Adventurer",Movie Block (PC),Ring Bearer,40,0.4250,0.0357,0.50,0.50
"•Frodo, Reluctant Adventurer",Expanded (PC),Ring Bearer,15,0.5333,0.0815,1.22,1.22
"•Frodo, Reluctant Adventurer",All Blocks (PC),Ring Bearer,487,0.4805,0.2401,7.67,7.67
"The Prancing Pony",Fellowship Block (PC),Site,378,0.4788,0.5221,33.47,33.47
"The Prancing Pony",Expanded (PC),Site,29,0.4828,0.1576,12.31,12.31
"The Prancing Pony",All Blocks (PC),Site,407,0.4791,0.2007,37.17,37.17
"Trollshaw Forest",Fellowship Block (PC),Site,143,0.4545,0.1975,12.66,12.66
"Trollshaw Forest",Expanded (PC),Site,61,0.4590,0.3315,25.90,25.90
"Trollshaw Forest",All Blocks (PC),Site,204,0.4559,0.1006,18.63,18.63
"House of Elrond",Fellowship Block (PC),Site,46,0.4783,0.0635,4.07,4.07
"House of Elrond",All Blocks (PC),Site,46,0.4783,0.0227,4.20,4.20
"Hollin",Fellowship Block (PC),Site,166,0.5120,0.2293,14.70,14.70
"Hollin",All Blocks (PC),Site,166,0.5120,0.0819,15.17,15.17
"The Bridge of Khazad-dum",Fellowship Block (PC),Site,724,0.5000,1.0000,64.10,64.10
"The Bridge of Khazad-dum",Expanded (PC),Site,29,0.4483,0.1576,12.31,12.31
"The Bridge of Khazad-dum",All Blocks (PC),Site,753,0.4980,0.3713,68.76,68.76
"Caras Galadhon",Fellowship Block (PC),Site,247,0.4413,0.3412,21.87,21.87
"Caras Galadhon",Expanded (PC),Site,67,0.6418,0.3641,28.45,28.45
"Caras Galadhon",All Blocks (PC),Site,314,0.4841,0.1548,28.67,28.67
"Anduin Confluence",Fellowship Block (PC),Site,228,0.5000,0.3149,20.19,20.19
"Anduin Confluence",Expanded (PC),Site,5,0.4000,0.0272,2.13,2.13
"Anduin Confluence",All Blocks (PC),Site,233,0.4979,0.1149,21.28,21.28
"Gates of Argonath",Fellowship Block (PC),Site,114,0.5351,0.1575,10.10,10.10
"Gates of Argonath",All Blocks (PC),Site,114,0.5351,0.0562,10.41,10.41
"Slopes of Amon Hen",Fellowship Block (PC),Site,113,0.4779,0.1561,10.01,10.01
"Slopes of Amon Hen",All Blocks (PC),Site,113,0.4779,0.0557,10.31,10.31
"•Saruman, Keeper of Isengard",Fellowship Block (PC),1,3,0.3333,0.0041,Unknown,0.05
"•Saruman, Keeper of Isengard",Fellowship Block (PC),2,8,0.2500,0.0110,Unknown,0.15
"•Saruman, Keeper of Isengard",Fellowship Block (PC),3,77,0.5325,0.1064,Unknown,1.41
"•Saruman, Keeper of Isengard",Fellowship Block (PC),4,22,0.5909,0.0304,Unknown,0.40
"•Saruman, Keeper of Isengard",Fellowship Block (PC),Any,110,0.5182,0.1519,Unknown,2.02
"•Saruman, Keeper of Isengard",Expanded (PC),2,5,0.4000,0.0272,Unknown,0.83
"•Saruman, Keeper of Isengard",Expanded (PC),Any,5,0.4000,0.0272,Unknown,0.83
"•Saruman, Keeper of Isengard",Movie Block (PC),3,3,0.3333,0.0027,Unknown,0.08
"•Saruman, Keeper of Isengard",Movie Block (PC),Any,3,0.3333,0.0027,Unknown,0.08
"•Saruman, Keeper of Isengard",All Blocks (PC),Any,118,0.5085,0.0582,Unknown,4.67
"•The Palantir of Orthanc",Fellowship Block (PC),1,7,0.5714,0.0097,Unknown,0.13
"•The Palantir of Orthanc",Fellowship Block (PC),Any,7,0.5714,0.0097,Unknown,0.13
"•The Palantir of Orthanc",Movie Block (PC),2,3,0.3333,0.0027,Unknown,0.08
"•The Palantir of Orthanc",Movie Block (PC),3,9,0.4444,0.0080,Unknown,0.25
"•The Palantir of Orthanc",Movie Block (PC),Any,12,0.4167,0.0107,Unknown,0.33
"•The Palantir of Orthanc",All Blocks (PC),Any,19,0.4737,0.0094,Unknown,0.75
"Flaming Brand",Fellowship Block (PC),1,52,0.4231,0.0718,Unknown,0.95
"Flaming Brand",Fellowship Block (PC),2,299,0.5418,0.4130,Unknown,5.48
"Flaming Brand",Fellowship Block (PC),3,123,0.4634,0.1699,Unknown,2.25
"Flaming Brand",Fellowship Block (PC),4,80,0.5125,0.1105,Unknown,1.47
"Flaming Brand",Fellowship Block (PC),Any,554,0.5090,0.7652,Unknown,10.15
"Flaming Brand",Expanded (PC),1,13,0.5385,0.0707,Unknown,2.15
"Flaming Brand",Expanded (PC),2,5,0.4000,0.0272,Unknown,0.83
"Flaming Brand",Expanded (PC),3,13,0.0000,0.0707,Unknown,2.15
"Flaming Brand",Expanded (PC),Any,31,0.2903,0.1685,Unknown,5.12
"Flaming Brand",Movie Block (PC),1,29,0.4828,0.0259,Unknown,0.80
"Flaming Brand",Movie Block (PC),2,5,0.4000,0.0045,Unknown,0.14
"Flaming Brand",Movie Block (PC),Any,34,0.4706,0.0304,Unknown,0.94
"Flaming Brand",All Blocks (PC),Any,619,0.4960,0.3052,Unknown,24.51
"The Last Alliance of Elves and Men",Fellowship Block (PC),1,48,0.5417,0.0663,Unknown,0.88
"The Last Alliance of Elves and Men",Fellowship Block (PC),2,202,0.4752,0.2790,Unknown,3.70
"The Last Alliance of Elves and Men",Fellowship Block (PC),3,28,0.4643,0.0387,Unknown,0.51
"The Last Alliance of Elves and Men",Fellowship Block (PC),Any,278,0.4856,0.3840,Unknown,5.09
"The Last Alliance of Elves and Men",Movie Block (PC),1,31,0.5484,0.0277,Unknown,0.86
"The Last Alliance of Elves and Men",Movie Block (PC),2,81,0.4568,0.0723,Unknown,2.24
"The Last Alliance of Elves and Men",Movie Block (PC),3,132,0.4773,0.1179,Unknown,3.65
"The Last Alliance of Elves and Men",Movie Block (PC),Any,244,0.4795,0.2179,Unknown,6.75
"The Last Alliance of Elves and Men",Expanded (PC),1,6,0.5000,0.0326,Unknown,0.99
"The Last Alliance of Elves and Men",Expanded (PC),3,1,0.0000,0.0054,Unknown,0.17
"The Last Alliance of Elves and Men",Expanded (PC),Any,7,0.4286,0.0380,Unknown,1.16
"The Last Alliance of Elves and Men",All Blocks (PC),Any,529,0.4820,0.2608,Unknown,20.94
"•Gwemegil",Fellowship Block (PC),1,197,0.4365,0.2721,Unknown,3.61
"•Gwemegil",Fellowship Block (PC),2,127,0.4882,0.1754,Unknown,2.33
"•Gwemegil",Fellowship Block (PC),3,4,0.5000,0.0055,Unknown,0.07
"•Gwemegil",Fellowship Block (PC),Any,328,0.4573,0.4530,Unknown,6.01
"•Gwemegil",Movie Block (PC),1,173,0.4855,0.1545,Unknown,4.78
"•Gwemegil",Movie Block (PC),2,51,0.4510,0.0455,Unknown,1.41
"•Gwemegil",Movie Block (PC),Any,224,0.4777,0.2000,Unknown,6.19
"•Gwemegil",Expanded (PC),1,6,0.5000,0.0326,Unknown,0.99
"•Gwemegil",Expanded (PC),2,1,1.0000,0.0054,Unknown,0.17
"•Gwemegil",Expanded (PC),Any,7,0.5714,0.0380,Unknown,1.16
"•Gwemegil",All Blocks (PC),Any,559,0.4669,0.2756,Unknown,22.13
"•The Balrog, Durin's Bane",Fellowship Block (PC),1,151,0.4636,0.2086,Unknown,2.77
"•The Balrog, Durin's Bane",Fellowship Block (PC),2,1,0.0000,0.0014,Unknown,0.02
"•The Balrog, Durin's Bane",Fellowship Block (PC),3,4,0.5000,0.0055,Unknown,0.07
"•The Balrog, Durin's Bane",Fellowship Block (PC),Any,156,0.4615,0.2155,Unknown,2.86
"•The Balrog, Durin's Bane",All Blocks (PC),Any,156,0.4615,0.0769,Unknown,6.18
"•Long-knives of Legolas",Fellowship Block (PC),1,120,0.4167,0.1657,Unknown,2.20
"•Long-knives of Legolas",Fellowship Block (PC),2,5,0.2000,0.0069,Unknown,0.09
"•Long-knives of Legolas",Fellowship Block (PC),Any,125,0.4080,0.1727,Unknown,2.29
"•Long-knives of Legolas",Movie Block (PC),1,24,0.4167,0.0214,Unknown,0.66
"•Long-knives of Legolas",Movie Block (PC),2,2,0.0000,0.0018,Unknown,0.06
"•Long-knives of Legolas",Movie Block (PC),Any,26,0.3846,0.0232,Unknown,0.72
"•Long-knives of Legolas",Expanded (PC),1,3,1.0000,0.0163,Unknown,0.50
"•Long-knives of Legolas",Expanded (PC),Any,3,1.0000,0.0163,Unknown,0.50
"•Long-knives of Legolas",All Blocks (PC),Any,154,0.4156,0.0759,Unknown,6.10
"•Orthanc Berserker",Fellowship Block (PC),1,45,0.4000,0.0622,Unknown,0.82
"•Orthanc Berserker",Fellowship Block (PC),2,50,0.5800,0.0691,Unknown,0.92
"•Orthanc Berserker",Fellowship Block (PC),3,5,0.2000,0.0069,Unknown,0.09
"•Orthanc Berserker",Fellowship Block (PC),Any,100,0.4800,0.1381,Unknown,1.83
"•Orthanc Berserker",Expanded (PC),1,3,0.6667,0.0163,Unknown,0.50
"•Orthanc Berserker",Expanded (PC),Any,3,0.6667,0.0163,Unknown,0.50
"•Orthanc Berserker",Movie Block (PC),1,4,0.5000,0.0036,Unknown,0.11
"•Orthanc Berserker",Movie Block (PC),2,1,0.0000,0.0009,Unknown,0.03
"•Orthanc Berserker",Movie Block (PC),4,7,0.1429,0.0063,Unknown,0.19
"•Orthanc Berserker",Movie Block (PC),Any,12,0.2500,0.0107,Unknown,0.33
"•Orthanc Berserker",All Blocks (PC),Any,115,0.4609,0.0567,Unknown,4.55
"Swordsman of the Northern Kingdom",Fellowship Block (PC),2,7,0.4286,0.0097,Unknown,0.13
"Swordsman of the Northern Kingdom",Fellowship Block (PC),3,19,0.4737,0.0262,Unknown,0.35
"Swordsman of the Northern Kingdom",Fellowship Block (PC),4,17,0.4706,0.0235,Unknown,0.31
"Swordsman of the Northern Kingdom",Fellowship Block (PC),Any,43,0.4651,0.0594,Unknown,0.79
"Swordsman of the Northern Kingdom",Expanded (PC),2,12,0.6667,0.0652,Unknown,1.98
"Swordsman of the Northern Kingdom",Expanded (PC),3,6,0.1667,0.0326,Unknown,0.99
"Swordsman of the Northern Kingdom",Expanded (PC),Any,18,0.5000,0.0978,Unknown,2.97
"Swordsman of the Northern Kingdom",Movie Block (PC),2,1,0.0000,0.0009,Unknown,0.03
"Swordsman of the Northern Kingdom",Movie Block (PC),Any,1,0.0000,0.0009,Unknown,0.03
"Swordsman of the Northern Kingdom",All Blocks (PC),Any,62,0.4677,0.0306,Unknown,2.45
"Uruk-hai Raiding Party",Fellowship Block (PC),3,1,1.0000,0.0014,Unknown,0.02
"Uruk-hai Raiding Party",Fellowship Block (PC),Any,1,1.0000,0.0014,Unknown,0.02
"Uruk-hai Raiding Party",All Blocks (PC),Any,1,1.0000,0.0005,Unknown,0.04
"•The Saga of Elendil",Fellowship Block (PC),1,156,0.5897,0.2155,Unknown,2.86
"•The Saga of Elendil",Fellowship Block (PC),Any,156,0.5897,0.2155,Unknown,2.86
"•The Saga of Elendil",Movie Block (PC),1,65,0.3692,0.0580,Unknown,1.80
"•The Saga of Elendil",Movie Block (PC),2,2,0.0000,0.0018,Unknown,0.06
"•The Saga of Elendil",Movie Block (PC),Any,67,0.3582,0.0598,Unknown,1.85
"•The Saga of Elendil",Expanded (PC),1,19,0.4211,0.1033,Unknown,3.14
"•The Saga of Elendil",Expanded (PC),2,15,0.2000,0.0815,Unknown,2.48
"•The Saga of Elendil",Expanded (PC),Any,34,0.3235,0.1848,Unknown,5.62
"•The Saga of Elendil",All Blocks (PC),Any,257,0.4942,0.1267,Unknown,10.17
"•The Tale of Gil-galad",Fellowship Block (PC),1,120,0.4583,0.1657,Unknown,2.20
"•The Tale of Gil-galad",Fellowship Block (PC),2,2,1.0000,0.0028,Unknown,0.04
"•The Tale of Gil-galad",Fellowship Block (PC),3,2,0.0000,0.0028,Unknown,0.04
"•The Tale of Gil-galad",Fellowship Block (PC),Any,124,0.4597,0.1713,Unknown,2.27
"•The Tale of Gil-galad",Movie Block (PC),1,239,0.4686,0.2134,Unknown,6.61
"•The Tale of Gil-galad",Movie Block (PC),2,2,0.5000,0.0018,Unknown,0.06
"•The Tale of Gil-galad",Movie Block (PC),Any,241,0.4689,0.2152,Unknown,6.67
"•The Tale of Gil-galad",Expanded (PC),1,10,0.5000,0.0543,Unknown,1.65
"•The Tale of Gil-galad",Expanded (PC),2,2,1.0000,0.0109,Unknown,0.33
"•The Tale of Gil-galad",Expanded (PC),Any,12,0.5833,0.0652,Unknown,1.98
"•The Tale of Gil-galad",All Blocks (PC),Any,377,0.4695,0.1859,Unknown,14.93
"No Stranger to the Shadows",Fellowship Block (PC),1,103,0.5340,0.1423,Unknown,1.89
"No Stranger to the Shadows",Fellowship Block (PC),2,75,0.6400,0.1036,Unknown,1.37
"No Stranger to the Shadows",Fellowship Block (PC),3,5,0.0000,0.0069,Unknown,0.09
"No Stranger to the Shadows",Fellowship Block (PC),4,1,0.0000,0.0014,Unknown,0.02
"No Stranger to the Shadows",Fellowship Block (PC),Any,184,0.5598,0.2541,Unknown,3.37
"No Stranger to the Shadows",Expanded (PC),1,5,0.4000,0.0272,Unknown,0.83
"No Stranger to the Shadows",Expanded (PC),2,1,0.0000,0.0054,Unknown,0.17
"No Stranger to the Shadows",Expanded (PC),Any,6,0.3333,0.0326,Unknown,0.99
"No Stranger to the Shadows",Movie Block (PC),1,7,0.5714,0.0063,Unknown,0.19
"No Stranger to the Shadows",Movie Block (PC),2,14,0.3571,0.0125,Unknown,0.39
"No Stranger to the Shadows",Movie Block (PC),Any,21,0.4286,0.0187,Unknown,0.58
"No Stranger to the Shadows",All Blocks (PC),Any,211,0.5403,0.1040,Unknown,8.35
"Uruk Warrior",Fellowship Block (PC),1,2,0.0000,0.0028,Unknown,0.04
"Uruk Warrior",Fellowship Block (PC),2,1,1.0000,0.0014,Unknown,0.02
"Uruk Warrior",Fellowship Block (PC),3,5,0.6000,0.0069,Unknown,0.09
"Uruk Warrior",Fellowship Block (PC),4,23,0.4348,0.0318,Unknown,0.42
"Uruk Warrior",Fellowship Block (PC),Any,31,0.4516,0.0428,Unknown,0.57
"Uruk Warrior",Movie Block (PC),1,2,1.0000,0.0018,Unknown,0.06
"Uruk Warrior",Movie Block (PC),2,2,0.5000,0.0018,Unknown,0.06
"Uruk Warrior",Movie Block (PC),Any,4,0.7500,0.0036,Unknown,0.11
"Uruk Warrior",All Blocks (PC),Any,35,0.4857,0.0173,Unknown,1.39
"•Ranger's Sword",Fellowship Block (PC),1,373,0.5013,0.5152,Unknown,6.83
"•Ranger's Sword",Fellowship Block (PC),2,206,0.5243,0.2845,Unknown,3.77
"•Ranger's Sword",Fellowship Block (PC),Any,579,0.5095,0.7997,Unknown,10.61
"•Ranger's Sword",Movie Block (PC),1,54,0.5000,0.0482,Unknown,1.49
"•Ranger's Sword",Movie Block (PC),2,14,0.4286,0.0125,Unknown,0.39
"•Ranger's Sword",Movie Block (PC),Any,68,0.4853,0.0607,Unknown,1.88
"•Ranger's Sword",Expanded (PC),1,3,0.6667,0.0163,Unknown,0.50
"•Ranger's Sword",Expanded (PC),Any,3,0.6667,0.0163,Unknown,0.50
"•Ranger's Sword",All Blocks (PC),Any,650,0.5077,0.3205,Unknown,25.73
"Elven Bow",Fellowship Block (PC),1,41,0.5610,0.0566,Unknown,0.75
"Elven Bow",Fellowship Block (PC),2,46,0.4348,0.0635,Unknown,0.84
"Elven Bow",Fellowship Block (PC),3,4,0.5000,0.0055,Unknown,0.07
"Elven Bow",Fellowship Block (PC),4,2,0.0000,0.0028,Unknown,0.04
"Elven Bow",Fellowship Block (PC),Any,93,0.4839,0.1285,Unknown,1.70
"Elven Bow",Movie Block (PC),1,2,0.5000,0.0018,Unknown,0.06
