Card,Block,Category/Count,Games,Win Rate,Play Rate,Weighted Play Rate,Weighted Inclusion Rate
"•The One Ring, Isildur's Bane",Fellowship Block (PC),The One Ring,336,0.5119,0.9333,1.87,1.87
"•The One Ring, Isildur's Bane",Movie Block (PC),The One Ring,28,0.5714,0.0581,0.29,0.29
"•The One Ring, Isildur's Bane",Expanded (PC),The One Ring,1,1.0000,0.0039,0.03,0.03
"•The One Ring, Isildur's Bane",All Blocks (PC),The One Ring,365,0.5178,0.3324,4.66,4.66
"•Frodo, Reluctant Adventurer",Fellowship Block (PC),Ring Bearer,223,0.5516,0.6194,1.86,1.86
"•Frodo, Reluctant Adventurer",Expanded (PC),Ring Bearer,3,0.6667,0.0117,0.21,0.21
"•Frodo, Reluctant Adventurer",Movie Block (PC),Ring Bearer,13,0.8462,0.0270,0.38,0.38
"•Frodo, Reluctant Adventurer",All Blocks (PC),Ring Bearer,239,0.5690,0.2177,7.61,7.61
"The Prancing Pony",Fellowship Block (PC),Site,214,0.4953,0.5944,37.38,37.38
"The Prancing Pony",Expanded (PC),Site,51,0.5294,0.1992,15.69,15.69
"The Prancing Pony",All Blocks (PC),Site,265,0.5019,0.2413,44.69,44.69
"Trollshaw Forest",Fellowship Block (PC),Site,88,0.4205,0.2444,15.37,15.37
"Trollshaw Forest",Expanded (PC),Site,64,0.4531,0.2500,19.69,19.69
"Trollshaw Forest",All Blocks (PC),Site,152,0.4342,0.1384,25.63,25.63
"House of Elrond",Fellowship Block (PC),Site,34,0.3529,0.0944,5.94,5.94
"House of Elrond",All Blocks (PC),Site,34,0.3529,0.0310,5.74,5.74
"Hollin",Fellowship Block (PC),Site,89,0.5056,0.2472,15.55,15.55
"Hollin",All Blocks (PC),Site,89,0.5056,0.0811,15.02,15.02
"The Bridge of Khazad-dum",Fellowship Block (PC),Site,360,0.5000,1.0000,62.89,62.89
"The Bridge of Khazad-dum",Expanded (PC),Site,22,0.5455,0.0859,6.76,6.76
"The Bridge of Khazad-dum",All Blocks (PC),Site,382,0.5026,0.3479,64.43,64.43
"Caras Galadhon",Fellowship Block (PC),Site,112,0.4018,0.3111,19.57,19.57
"Caras Galadhon",Expanded (PC),Site,108,0.4815,0.4219,33.22,33.22
"Caras Galadhon",All Blocks (PC),Site,220,0.4409,0.2004,37.11,37.11
"Anduin Confluence",Fellowship Block (PC),Site,105,0.4762,0.2917,18.35,18.35
"Anduin Confluence",Expanded (PC),Site,9,0.4444,0.0352,2.77,2.77
"Anduin Confluence",All Blocks (PC),Site,114,0.4737,0.1038,19.22,19.22
"Gates of Argonath",Fellowship Block (PC),Site,40,0.6500,0.1111,6.99,6.99
"Gates of Argonath",All Blocks (PC),Site,40,0.6500,0.0364,6.74,6.74
"Slopes of Amon Hen",Fellowship Block (PC),Site,75,0.4933,0.2083,13.10,13.10
"Slopes of Amon Hen",All Blocks (PC),Site,75,0.4933,0.0683,12.65,12.65
"•Saruman, Keeper of Isengard",Fellowship Block (PC),1,1,1.0000,0.0028,Unknown,0.03
"•Saruman, Keeper of Isengard",Fellowship Block (PC),2,16,0.1875,0.0444,Unknown,0.54
"•Saruman, Keeper of Isengard",Fellowship Block (PC),3,43,0.6744,0.1194,Unknown,1.46
"•Saruman, Keeper of Isengard",Fellowship Block (PC),4,8,0.1250,0.0222,Unknown,0.27
"•Saruman, Keeper of Isengard",Fellowship Block (PC),Any,68,0.5000,0.1889,Unknown,2.31
"•Saruman, Keeper of Isengard",Expanded (PC),1,3,0.3333,0.0117,Unknown,0.42
"•Saruman, Keeper of Isengard",Expanded (PC),Any,3,0.3333,0.0117,Unknown,0.42
"•Saruman, Keeper of Isengard",All Blocks (PC),Any,71,0.4930,0.0647,Unknown,4.94
"•The Palantir of Orthanc",Fellowship Block (PC),1,2,0.5000,0.0056,Unknown,0.07
"•The Palantir of Orthanc",Fellowship Block (PC),3,1,0.0000,0.0028,Unknown,0.03
"•The Palantir of Orthanc",Fellowship Block (PC),Any,3,0.3333,0.0083,Unknown,0.10
"•The Palantir of Orthanc",All Blocks (PC),Any,3,0.3333,0.0027,Unknown,0.21
"Flaming Brand",Fellowship Block (PC),1,63,0.3651,0.1750,Unknown,2.14
"Flaming Brand",Fellowship Block (PC),2,87,0.4598,0.2417,Unknown,2.95
"Flaming Brand",Fellowship Block (PC),3,51,0.7255,0.1417,Unknown,1.73
"Flaming Brand",Fellowship Block (PC),4,47,0.5957,0.1306,Unknown,1.59
"Flaming Brand",Fellowship Block (PC),Any,248,0.5161,0.6889,Unknown,8.41
"Flaming Brand",Expanded (PC),1,7,0.5714,0.0273,Unknown,0.98
"Flaming Brand",Expanded (PC),2,2,0.0000,0.0078,Unknown,0.28
"Flaming Brand",Expanded (PC),Any,9,0.4444,0.0352,Unknown,1.26
"Flaming Brand",Movie Block (PC),1,5,0.4000,0.0104,Unknown,0.28
"Flaming Brand",Movie Block (PC),2,12,0.2500,0.0249,Unknown,0.68
"Flaming Brand",Movie Block (PC),Any,17,0.2941,0.0353,Unknown,0.96
"Flaming Brand",All Blocks (PC),Any,274,0.5000,0.2495,Unknown,19.05
"The Last Alliance of Elves and Men",Fellowship Block (PC),1,41,0.5122,0.1139,Unknown,1.39
"The Last Alliance of Elves and Men",Fellowship Block (PC),2,93,0.6667,0.2583,Unknown,3.16
"The Last Alliance of Elves and Men",Fellowship Block (PC),3,11,0.3636,0.0306,Unknown,0.37
"The Last Alliance of Elves and Men",Fellowship Block (PC),4,1,0.0000,0.0028,Unknown,0.03
"The Last Alliance of Elves and Men",Fellowship Block (PC),Any,146,0.5959,0.4056,Unknown,4.95
"The Last Alliance of Elves and Men",Expanded (PC),1,5,0.0000,0.0195,Unknown,0.70
"The Last Alliance of Elves and Men",Expanded (PC),3,6,0.3333,0.0234,Unknown,0.84
"The Last Alliance of Elves and Men",Expanded (PC),4,6,0.0000,0.0234,Unknown,0.84
"The Last Alliance of Elves and Men",Expanded (PC),Any,17,0.1176,0.0664,Unknown,2.38
"The Last Alliance of Elves and Men",Movie Block (PC),1,29,0.4483,0.0602,Unknown,1.64
"The Last Alliance of Elves and Men",Movie Block (PC),2,21,0.2381,0.0436,Unknown,1.19
"The Last Alliance of Elves and Men",Movie Block (PC),3,34,0.4706,0.0705,Unknown,1.92
"The Last Alliance of Elves and Men",Movie Block (PC),4,6,0.3333,0.0124,Unknown,0.34
"The Last Alliance of Elves and Men",Movie Block (PC),Any,90,0.4000,0.1867,Unknown,5.08
"The Last Alliance of Elves and Men",All Blocks (PC),Any,253,0.4941,0.2304,Unknown,17.59
"•Gwemegil",Fellowship Block (PC),1,77,0.5195,0.2139,Unknown,2.61
"•Gwemegil",Fellowship Block (PC),2,85,0.6000,0.2361,Unknown,2.88
"•Gwemegil",Fellowship Block (PC),3,2,0.5000,0.0056,Unknown,0.07
"•Gwemegil",Fellowship Block (PC),Any,164,0.5610,0.4556,Unknown,5.56
"•Gwemegil",Expanded (PC),1,12,0.3333,0.0469,Unknown,1.68
"•Gwemegil",Expanded (PC),2,2,0.5000,0.0078,Unknown,0.28
"•Gwemegil",Expanded (PC),3,1,1.0000,0.0039,Unknown,0.14
"•Gwemegil",Expanded (PC),Any,15,0.4000,0.0586,Unknown,2.10
"•Gwemegil",Movie Block (PC),1,62,0.4355,0.1286,Unknown,3.50
"•Gwemegil",Movie Block (PC),2,20,0.4500,0.0415,Unknown,1.13
"•Gwemegil",Movie Block (PC),3,5,0.2000,0.0104,Unknown,0.28
"•Gwemegil",Movie Block (PC),Any,87,0.4253,0.1805,Unknown,4.91
"•Gwemegil",All Blocks (PC),Any,266,0.5075,0.2423,Unknown,18.49
"•The Balrog, Durin's Bane",Fellowship Block (PC),1,83,0.5060,0.2306,Unknown,2.82
"•The Balrog, Durin's Bane",Fellowship Block (PC),3,3,0.0000,0.0083,Unknown,0.10
"•The Balrog, Durin's Bane",Fellowship Block (PC),Any,86,0.4884,0.2389,Unknown,2.92
"•The Balrog, Durin's Bane",All Blocks (PC),Any,86,0.4884,0.0783,Unknown,5.98
"•Long-knives of Legolas",Fellowship Block (PC),1,60,0.2833,0.1667,Unknown,2.04
"•Long-knives of Legolas",Fellowship Block (PC),2,4,0.0000,0.0111,Unknown,0.14
"•Long-knives of Legolas",Fellowship Block (PC),Any,64,0.2656,0.1778,Unknown,2.17
"•Long-knives of Legolas",Expanded (PC),1,5,0.4000,0.0195,Unknown,0.70
"•Long-knives of Legolas",Expanded (PC),2,1,1.0000,0.0039,Unknown,0.14
"•Long-knives of Legolas",Expanded (PC),Any,6,0.5000,0.0234,Unknown,0.84
"•Long-knives of Legolas",Movie Block (PC),1,19,0.3158,0.0394,Unknown,1.07
"•Long-knives of Legolas",Movie Block (PC),2,1,0.0000,0.0021,Unknown,0.06
"•Long-knives of Legolas",Movie Block (PC),Any,20,0.3000,0.0415,Unknown,1.13
"•Long-knives of Legolas",All Blocks (PC),Any,90,0.2889,0.0820,Unknown,6.26
"Swordsman of the Northern Kingdom",Fellowship Block (PC),2,2,0.5000,0.0056,Unknown,0.07
"Swordsman of the Northern Kingdom",Fellowship Block (PC),3,11,0.6364,0.0306,Unknown,0.37
"Swordsman of the Northern Kingdom",Fellowship Block (PC),4,16,0.6875,0.0444,Unknown,0.54
"Swordsman of the Northern Kingdom",Fellowship Block (PC),Any,29,0.6552,0.0806,Unknown,0.98
"Swordsman of the Northern Kingdom",Expanded (PC),2,4,0.5000,0.0156,Unknown,0.56
"Swordsman of the Northern Kingdom",Expanded (PC),3,2,0.0000,0.0078,Unknown,0.28
"Swordsman of the Northern Kingdom",Expanded (PC),Any,6,0.3333,0.0234,Unknown,0.84
"Swordsman of the Northern Kingdom",Movie Block (PC),2,1,1.0000,0.0021,Unknown,0.06
"Swordsman of the Northern Kingdom",Movie Block (PC),3,1,0.0000,0.0021,Unknown,0.06
"Swordsman of the Northern Kingdom",Movie Block (PC),Any,2,0.5000,0.0041,Unknown,0.11
"Swordsman of the Northern Kingdom",All Blocks (PC),Any,37,0.5946,0.0337,Unknown,2.57
