Card,Block,Category/Count,Games,Win Rate,Play Rate,Weighted Play Rate,Weighted Inclusion Rate,Pool Size,Mock's Initial Ratings
"•The One Ring, Isildur's Bane",Fellowship Block (PC),The One Ring,3307,0.5156,0.9050,1.81,1.81,2,Over Played?
"•The One Ring, Isildur's Bane",Movie Block (PC),The One Ring,352,0.5313,0.0801,0.40,0.40,5,Low Play Rate
"•The One Ring, Isildur's Bane",Expanded (PC),The One Ring,7,0.4286,0.0028,0.02,0.02,8,Unplayed
"•The One Ring, Isildur's Bane",All Blocks (PC),The One Ring,3666,0.5169,0.3466,5.20,5.20,15,Over Played?
"•Frodo, Old Bilbo's Heir",Fellowship Block (PC),Ring Bearer,1084,0.4640,0.2967,0.89,0.89,3,Average
"•Frodo, Old Bilbo's Heir",Movie Block (PC),Ring Bearer,471,0.4968,0.1071,1.61,1.61,15,Meta Staple
"•Frodo, Old Bilbo's Heir",Expanded (PC),Ring Bearer,3,0.3333,0.0012,0.02,0.02,20,Unplayed
"•Frodo, Old Bilbo's Heir",Expanded (PC),Ring Bearer,79,0.4430,0.0313,0.63,0.63,20,Average
"•Frodo, Old Bilbo's Heir",All Blocks (PC),Ring Bearer,1634,0.4725,0.1545,5.87,5.87,38,Meta Staple
"•Frodo, Reluctant Adventurer",Fellowship Block (PC),Ring Bearer,2326,0.5142,0.6366,1.91,1.91,3,Over Played?
"•Frodo, Reluctant Adventurer",Movie Block (PC),Ring Bearer,308,0.5519,0.0701,1.05,1.05,15,Average
"•Frodo, Reluctant Adventurer",Expanded (PC),Ring Bearer,43,0.4884,0.0170,0.34,0.34,20,Low Play Rate
"•Frodo, Reluctant Adventurer",All Blocks (PC),Ring Bearer,2677,0.5181,0.2531,9.62,9.62,38,Over Played?
"The Prancing Pony",Fellowship Block (PC),Site,1854,0.5124,0.5074,3.66,3.66,65,Meta Staple
"The Prancing Pony",Expanded (PC),Site,448,0.5156,0.1774,1.58,1.58,80,High Play Rate
"The Prancing Pony",Movie Block (PC),Site,8,0.6250,0.0018,0.03,0.03,128,Unplayed
"The Prancing Pony",All Blocks (PC),Site,2310,0.5134,0.2184,6.62,6.62,273,Meta Staple
"Bree Streets",Fellowship Block (PC),Site,631,0.5309,0.1727,1.25,1.25,65,Average
"Bree Streets",Movie Block (PC),Site,6,0.1667,0.0014,0.02,0.02,128,Unplayed
"Bree Streets",All Blocks (PC),Site,637,0.5275,0.0602,1.82,1.82,273,High Play Rate
"Ford of Bruinen",Fellowship Block (PC),Site,1228,0.5228,0.3361,2.43,2.43,65,High Play Rate
"Ford of Bruinen",Movie Block (PC),Site,8,0.1250,0.0018,0.03,0.03,128,Unplayed
"Ford of Bruinen",All Blocks (PC),Site,1236,0.5202,0.1169,3.54,3.54,273,Meta Staple
"Eregion Hills",Fellowship Block (PC),Site,1018,0.4509,0.2786,2.01,2.01,65,High Play Rate
"Eregion Hills",Movie Block (PC),Site,8,0.1250,0.0018,0.03,0.03,128,Unplayed
"Eregion Hills",All Blocks (PC),Site,1026,0.4483,0.0970,2.94,2.94,273,Meta Staple
"The Bridge of Khazad-dum",Fellowship Block (PC),Site,3654,0.5000,1.0000,7.22,7.22,65,Meta Staple
"The Bridge of Khazad-dum",Expanded (PC),Site,306,0.5294,0.1211,1.08,1.08,80,Average
"The Bridge of Khazad-dum",Movie Block (PC),Site,37,0.4324,0.0084,0.12,0.12,128,Low Play Rate
"The Bridge of Khazad-dum",All Blocks (PC),Site,3997,0.5016,0.3779,11.45,11.45,273,Over Played?
"Caras Galadhon",Fellowship Block (PC),Site,1318,0.4598,0.3607,2.60,2.60,65,Meta Staple
"Caras Galadhon",Expanded (PC),Site,913,0.5411,0.3614,3.21,3.21,80,Meta Staple
"Caras Galadhon",Movie Block (PC),Site,15,0.2667,0.0034,0.05,0.05,128,Unplayed
"Caras Galadhon",All Blocks (PC),Site,2246,0.4915,0.2124,6.44,6.44,273,Meta Staple
"Anduin Confluence",Fellowship Block (PC),Site,1214,0.4942,0.3322,2.40,2.40,65,High Play Rate
"Anduin Confluence",Expanded (PC),Site,147,0.4014,0.0582,0.52,0.52,80,Average
"Anduin Confluence",Movie Block (PC),Site,15,0.4667,0.0034,0.05,0.05,128,Unplayed
"Anduin Confluence",All Blocks (PC),Site,1376,0.4840,0.1301,3.94,3.94,273,Meta Staple
"Shores of Nen Hithoel",Fellowship Block (PC),Site,1115,0.5211,0.3051,2.20,2.20,65,High Play Rate
"Shores of Nen Hithoel",Expanded (PC),Site,31,0.4194,0.0123,0.11,0.11,80,Low Play Rate
"Shores of Nen Hithoel",Movie Block (PC),Site,14,0.4286,0.0032,0.05,0.05,128,Unplayed
"Shores of Nen Hithoel",All Blocks (PC),Site,1160,0.5172,0.1097,3.32,3.32,273,Meta Staple
"Summit of Amon Hen",Fellowship Block (PC),Site,1541,0.5165,0.4217,3.04,3.04,65,Meta Staple
"Summit of Amon Hen",Movie Block (PC),Site,5,0.2000,0.0011,0.02,0.02,128,Unplayed
"Summit of Amon Hen",All Blocks (PC),Site,1546,0.5155,0.1462,4.43,4.43,273,Meta Staple
"•Gandalf, The Grey Pilgrim",Fellowship Block (PC),1,765,0.5922,0.2094,Unknown,Unknown,586,outlier
"•Gandalf, The Grey Pilgrim",Fellowship Block (PC),2,42,0.5476,0.0115,Unknown,Unknown,586,outlier
"•Gandalf, The Grey Pilgrim",Fellowship Block (PC),3,96,0.4792,0.0263,Unknown,Unknown,586,outlier
"•Gandalf, The Grey Pilgrim",Fellowship Block (PC),4,36,0.2778,0.0099,Unknown,Unknown,586,Redeemable?
"•Gandalf, The Grey Pilgrim",Fellowship Block (PC),Any,939,0.5666,0.2570,Unknown,3.88,586,Meta Staple
"•Gandalf, The Grey Pilgrim",Movie Block (PC),1,90,0.5778,0.0205,Unknown,Unknown,1541,outlier
"•Gandalf, The Grey Pilgrim",Movie Block (PC),2,17,0.3529,0.0039,Unknown,Unknown,1541,Redeemable?
"•Gandalf, The Grey Pilgrim",Movie Block (PC),3,54,0.4815,0.0123,Unknown,Unknown,1541,outlier
"•Gandalf, The Grey Pilgrim",Movie Block (PC),4,49,0.5918,0.0111,Unknown,Unknown,1541,outlier
"•Gandalf, The Grey Pilgrim",Movie Block (PC),Any,210,0.5381,0.0478,Unknown,1.91,1541,High Play Rate
"•Gandalf, The Grey Pilgrim",Expanded (PC),1,19,0.4211,0.0075,Unknown,Unknown,2548,outlier
"•Gandalf, The Grey Pilgrim",Expanded (PC),3,2,1.0000,0.0008,Unknown,Unknown,2548,All it does is Win
