Card,Block,Category/Count,Games,Win Rate,Play Rate,Weighted Play Rate,Weighted Inclusion Rate,Pool Size,Mock's Initial Ratings
"•The One Ring, Isildur's Bane",Fellowship Block (PC),The One Ring,1217,0.5185,0.8883,1.78,1.78,2,Over Played?
"•The One Ring, Isildur's Bane",Movie Block (PC),The One Ring,156,0.5064,0.0879,0.44,0.44,5,Low Play Rate
"•The One Ring, Isildur's Bane",Expanded (PC),The One Ring,2,0.5000,0.0055,0.04,0.04,8,Unplayed
"•The One Ring, Isildur's Bane",All Blocks (PC),The One Ring,1375,0.5171,0.3917,5.87,5.87,15,Over Played?
"•Frodo, Reluctant Adventurer",Fellowship Block (PC),Ring Bearer,796,0.4987,0.5810,1.74,1.74,3,Meta Staple
"•Frodo, Reluctant Adventurer",Movie Block (PC),Ring Bearer,127,0.5276,0.0716,1.07,1.07,15,Average
"•Frodo, Reluctant Adventurer",Expanded (PC),Ring Bearer,9,0.4444,0.0246,0.44,0.44,18,Low Play Rate
"•Frodo, Reluctant Adventurer",All Blocks (PC),Ring Bearer,932,0.5021,0.2655,9.55,9.55,36,Over Played?
"•Frodo, Old Bilbo's Heir",Fellowship Block (PC),Ring Bearer,1,0.0000,0.0007,0.00,0.00,3,Unplayed
"•Frodo, Old Bilbo's Heir",Fellowship Block (PC),Ring Bearer,486,0.5165,0.3547,1.06,1.06,3,Average
"•Frodo, Old Bilbo's Heir",Movie Block (PC),Ring Bearer,233,0.4635,0.1313,1.97,1.97,15,Over Played?
"•Frodo, Old Bilbo's Heir",Expanded (PC),Ring Bearer,10,0.4000,0.0273,0.49,0.49,18,Low Play Rate
"•Frodo, Old Bilbo's Heir",All Blocks (PC),Ring Bearer,729,0.4979,0.2077,7.47,7.47,36,Meta Staple
"The Prancing Pony",Fellowship Block (PC),Site,849,0.5100,0.6197,4.47,4.47,65,Meta Staple
"The Prancing Pony",Movie Block (PC),Site,468,0.5513,0.2638,4.57,4.57,156,Meta Staple
"The Prancing Pony",Expanded (PC),Site,43,0.4884,0.1175,1.04,1.04,80,Average
"The Prancing Pony",All Blocks (PC),Site,1360,0.5235,0.3875,12.96,12.96,301,Over Played?
"Bree Streets",Fellowship Block (PC),Site,176,0.5455,0.1285,0.93,0.93,65,Average
"Bree Streets",Movie Block (PC),Site,88,0.6250,0.0496,0.86,0.86,156,Sleeper or Niche Power Picks
"Bree Streets",All Blocks (PC),Site,264,0.5720,0.0752,2.52,2.52,301,Meta Staple
"Ford of Bruinen",Fellowship Block (PC),Site,338,0.5237,0.2467,1.78,1.78,65,High Play Rate
"Ford of Bruinen",Movie Block (PC),Site,224,0.5759,0.1263,2.19,2.19,156,High Play Rate
"Ford of Bruinen",All Blocks (PC),Site,562,0.5445,0.1601,5.35,5.35,301,Meta Staple
"Eregion Hills",Fellowship Block (PC),Site,379,0.4354,0.2766,2.00,2.00,65,High Play Rate
"Eregion Hills",Movie Block (PC),Site,231,0.5238,0.1302,2.26,2.26,156,High Play Rate
"Eregion Hills",All Blocks (PC),Site,610,0.4689,0.1738,5.81,5.81,301,Meta Staple
"The Bridge of Khazad-dum",Fellowship Block (PC),Site,1370,0.5000,1.0000,7.22,7.22,65,Meta Staple
"The Bridge of Khazad-dum",Movie Block (PC),Site,868,0.5323,0.4893,8.48,8.48,156,Over Played?
"The Bridge of Khazad-dum",Expanded (PC),Site,24,0.5417,0.0656,0.58,0.58,80,Average
"The Bridge of Khazad-dum",All Blocks (PC),Site,2262,0.5128,0.6444,21.55,21.55,301,Over Played?
"Lothlorien Woods",Fellowship Block (PC),Site,252,0.5159,0.1839,1.33,1.33,65,Average
"Lothlorien Woods",Movie Block (PC),Site,5,0.2000,0.0028,0.05,0.05,156,Unplayed
